portfolio,annualized_return,annualized_volatility,annualized_rf,return_to_volatility,excess_sharpe_ratio,minimum_monthly_return,maximum_monthly_return,cumulative_return,terminal_growth,start_date,end_date,n_months
vw,0.06723708843585485,0.12880410587923616,0.012550000000000002,0.5220104435094238,0.424575661331233,-0.10756813403290805,0.13065231586517784,1.1833879660610442,2.1833879660610442,2014-01-31,2025-12-31,144
mv,0.08299191454165467,0.11575008193722285,0.012550000000000002,0.7169922746721286,0.6085690252889747,-0.08075251300642122,0.11035281109486914,1.6031702425822392,2.603170242582239,2014-01-31,2025-12-31,144
