date,vw,vw_drift,mv,mv_50,vw_50,vw_nz
2014-01-31,-0.0435127722073147,-0.0394220039900991,-0.019187374710129677,-0.01965451537676422,-0.03441922713418302,-0.04021240428802775
2014-02-28,0.01923710417884276,0.02930370295061985,0.04402873557591165,0.04495484430223219,0.03452884831977709,0.029661859396057137
2014-03-31,0.002667060585014067,0.006104922174860583,0.009880516613619102,0.016566989255469736,0.005202614372081536,0.007342209814084571
2014-04-30,-0.006863162070882226,-0.003049015588896581,-0.018367618247857403,-0.025341810645097836,-0.004302557682507663,0.002587760495129354
2014-05-30,0.030302266320730617,0.027864325582465016,0.051436374258646916,0.05339569298761908,0.03442524540317008,0.03413785872669811
2014-06-30,0.03215080530918248,0.029830632924989768,0.049780654527095354,0.05160623665799054,0.029327267632131986,0.028064968408586168
2014-07-31,0.021840218387285195,0.018505801501008296,0.017841999400768405,0.017457724783072413,0.019366635380542473,0.018704420647076583
2014-08-29,-0.011839640947987775,-0.007785891859623386,0.015125045193885626,0.014585492421045834,0.0034706424242388783,-0.004145257423608229
2014-09-30,-0.03641353896613268,-0.04314965019215711,-0.020115147402585336,-0.019132268166219102,-0.049896631097027584,-0.05118413255898534
2014-10-31,0.008397355326879094,0.007938793813291125,0.011136809944982706,0.006583332285280968,0.0059676552795437056,0.005237459008663919
2014-11-28,-0.00935263680735788,-0.015166973140828696,0.00030150505713077026,-0.0018842096857304893,-0.020801558050145833,-0.018748314395917155
2014-12-31,-0.013952640197414906,-0.012747401325813281,-0.02060675449535185,-0.02105882531128374,-0.004203931504742524,-0.0058564473478720696
2015-01-30,0.01878321379778549,0.012127624508042863,0.05921799596836181,0.0616712592546997,0.010265821574399984,0.010383140686949432
2015-02-27,0.04818526601732748,0.052592806648265954,0.008977920446566985,0.007657710876092082,0.04729138585610748,0.05587965837577878
2015-03-31,0.008499669978513223,0.00011917220796760579,0.005187163786219181,0.008778210403203379,0.0016020809992138426,0.0009988802035258491
2015-04-30,0.04339153971251602,0.039708204669602384,0.04183993039084013,0.04296870207104082,0.053941678972706054,0.054940046635305766
2015-05-29,-0.00048766076898099434,-0.002002306581349409,0.01036931360504181,0.008405463989304375,0.014031273700956371,0.008097788910819454
2015-06-30,-0.0244906221800913,-0.029267064906693507,0.0012417761656918162,0.0021795263045196562,-0.02382757491630658,-0.024591234821040038
2015-07-31,-0.00576394073078076,-0.0003726191557881203,0.017786724304914625,0.016347737490932424,-0.004974893327252332,-0.0031826224801734908
2015-08-31,-0.07545156150749388,-0.08032183345263848,-0.047405132795015466,-0.04660584552455942,-0.08228982888786518,-0.07662707058590305
2015-09-30,-0.05303131617415789,-0.0562143601070567,0.0756048077049899,0.07578043985034429,-0.03661374670529607,-0.04327078171436037
2015-10-30,0.08861270730382027,0.0893051248181198,0.09036440496188312,0.09637439220371309,0.10422514321317693,0.10088668089616877
2015-11-30,-0.010329047446440847,-0.01030419026739764,-0.05532846542828754,-0.04811917883856595,-0.017191356395353657,-0.016748814239496014
