portfolio,annualized_return,annualized_volatility,annualized_rf,return_to_volatility,excess_sharpe_ratio,tracking_error_vs_vw,minimum_monthly_return,maximum_monthly_return,cumulative_return,terminal_growth
vw,0.07369214106674002,0.13140925984795968,0.017475,0.560783472580256,0.4278019762974328,,-0.1144225119748022,0.1329161675884339,1.1779639304129508,2.1779639304129508
vw_50,0.08663185986391125,0.13636382368872096,0.017475,0.635299432946869,0.5071496089884975,0.03288259991852807,-0.14496234519230625,0.11609192660710335,1.520320657951474,2.520320657951474
vw_nz,0.08639324351063843,0.13668053836482247,0.017475,0.6320815278034747,0.5042286512413676,0.03194042373696882,-0.1441531546911261,0.11964483242011248,1.5120169785009194,2.5120169785009194
