date,mv,mv_50
2014-01-31,-0.030143678234069562,-0.03085852773389539
2014-02-28,0.04926622321018186,0.048940923039219576
2014-03-31,0.018706461730831906,0.023878341749858048
2014-04-30,-0.013901584517443423,-0.017044690334957275
2014-05-30,0.05732345572594313,0.059097612228263416
2014-06-30,0.049036366510885325,0.04936068143780554
2014-07-31,0.014453208979514243,0.014842845755971414
2014-08-29,0.020849717670944685,0.0184387788977614
2014-09-30,-0.028998240358383914,-0.02827078753013381
2014-10-31,0.023334442717249368,0.01948885088118267
2014-11-28,-0.0044992457618568535,-0.005470940412946409
2014-12-31,-0.02033014573596533,-0.021368362204323768
2015-01-30,0.09993503175754252,0.10083652084727572
2015-02-27,0.012736572450599875,0.015254575220088924
2015-03-31,0.0007268385312512709,0.0028344406095464863
2015-04-30,0.06043448500667113,0.05925884827527923
2015-05-29,0.01754725333381638,0.015599091657168957
2015-06-30,0.019322241254508887,0.022935522040929995
2015-07-31,0.0379546159939734,0.03283429761998521
2015-08-31,-0.03054416236566746,-0.02536247422294784
2015-09-30,0.003930077238588262,0.007491971800071764
2015-10-30,0.08304481748563364,0.08785814023653382
2015-11-30,-0.03723462322721362,-0.03137021457168381
2015-12-31,0.07919132562324689,0.08372018542262012
2016-01-29,-0.02647395397032877,-0.02836880039788197
2016-02-29,0.017562704011477942,0.017453925332663968
2016-03-31,0.04205929917293533,0.03871371874014315
2016-04-29,0.028879935960082773,0.02431611857373024
2016-05-31,-0.004241026199542265,-0.009354263760733214
2016-06-30,0.032835980860892,0.022845668431108444
2016-07-29,0.04625160220995328,0.04679834941187548
2016-08-31,-0.028635368701860786,-0.028743732340369234
2016-09-30,0.02505357008030496,0.027691603510410258
2016-10-31,-0.001274562581855862,-0.006925246464578025
2016-11-30,-0.04924590228581277,-0.048046908128973845
2016-12-30,-0.005530042873466123,-0.000927659961171742
2017-01-31,0.048001083242637826,0.04560245005199727
2017-02-28,0.0054625017676778916,-0.0005406356827186087
2017-03-31,0.014057121260177993,0.00738856505465805
2017-04-28,0.005707468949527206,0.007898112315100446
2017-05-31,0.04621738517045098,0.05078384849890037
2017-06-30,0.0022151509228324068,0.0039524569059151094
2017-07-31,0.021563294249522694,0.02855246333153196
2017-08-31,-0.008231940068567315,-0.010512329923126885
2017-09-29,-0.014290837037770603,-0.01392067176762768
2017-10-31,0.019992967445841395,0.020872799725779892
2017-11-30,0.029696791431025837,0.035159035877138464
2017-12-29,-0.014290191242152746,-0.015881625452213142
2018-01-31,0.030593905100145924,0.033098639155121165
2018-02-28,-0.014944107161736506,-0.015930634548429932
2018-03-30,-0.0022344589637364413,-0.004344977296519417
2018-04-30,0.001858849339017344,-0.003214648588770756
2018-05-31,-0.004297338225797631,-0.00843113083914486
2018-06-29,-0.01392437929653267,-0.01631001192720917
