date,vw,vw_50
2014-01-31,-0.0403458384192082,-0.03441922713418218
2014-02-28,0.023228858886041374,0.03452884831977391
2014-03-31,0.0033593366594299435,0.005202614372080936
2014-04-30,-0.008747153357301644,-0.00430255768251162
2014-05-30,0.03048134486035016,0.034425245403169484
2014-06-30,0.033543309632903376,0.029327267632131653
2014-07-31,0.01678443343313746,0.019366635380542785
2014-08-29,-0.00964807456436916,0.003470642424237422
2014-09-30,-0.03591961219840798,-0.04989663109702637
2014-10-31,0.005906548934870323,0.005967655279542495
2014-11-28,-0.009724307858277883,-0.020801558050146756
2014-12-31,-0.012147978093102186,-0.004203931504744192
2015-01-30,0.01579780315072501,0.01026582157439699
2015-02-27,0.04924447600426505,0.04729138585609374
2015-03-31,0.0012147819084220078,0.0016020809992166034
2015-04-30,0.03837706491537529,0.05394167897271322
2015-05-29,-0.0015712594437262799,0.014031273700958817
2015-06-30,-0.028407682737017843,-0.023827574916304946
2015-07-31,-0.0007844496562638461,-0.004974893327248252
2015-08-31,-0.07983661031109922,-0.08228982888787065
2015-09-30,-0.05437184249284605,-0.03661374670529359
2015-10-30,0.08905874187613,0.10422514321318829
2015-11-30,-0.008141910753056298,-0.017191356395363153
2015-12-31,0.011283692735004954,0.022185886393730085
2016-01-29,-0.0841608561275458,-0.08083050302381681
2016-02-29,-0.026685659749180843,-0.012545070322630933
2016-03-31,0.07405011940976218,0.07594329851879611
2016-04-29,0.03438421403013434,0.03381782482818932
2016-05-31,-0.014906775624698854,-0.012925894650796197
2016-06-30,-0.016330651442132985,-0.013801759973739601
2016-07-29,0.07143955039148027,0.07496288645672064
2016-08-31,1.2036040440087366e-05,-0.004049494962209135
2016-09-30,0.01769292524378961,0.020784430924026834
2016-10-31,0.00801476179220987,0.003189795437391758
2016-11-30,-0.01701610214288169,-0.017451719495105277
2016-12-30,0.006683590354233745,0.012332392193540636
2017-01-31,0.04135812637218026,0.03197113293764228
2017-02-28,0.02107198459456889,0.021138779994552336
2017-03-31,0.007732858177485457,0.0036588139161512793
2017-04-28,0.0035853568401641293,0.008623515295956136
2017-05-31,0.01454196468074922,0.014444222484207818
2017-06-30,0.013454223463753889,0.01465309078981713
2017-07-31,0.03167035109072775,0.02638301142998653
2017-08-31,0.0002686130151001209,0.0012527211508781774
2017-09-29,0.009240972539303895,0.00885633828114625
2017-10-31,0.033873700240923545,0.033741164708424476
2017-11-30,0.022253761870458747,0.020848893109190303
2017-12-29,0.01618716016572428,0.016702518029709595
2018-01-31,0.04389335150817857,0.04032484752854977
2018-02-28,-0.025278348843201036,-0.031735212191097595
2018-03-30,-0.028306047169128698,-0.02305292448307248
2018-04-30,0.013406848696210656,0.015248337037002319
2018-05-31,-0.008639777072155116,-0.0046302080932303195
2018-06-29,-0.017113929427930562,-0.01830161630981306
2018-07-31,0.013947251329028501,0.016066617171744905
2018-08-31,-0.009841112947684229,-0.009374196779959064
2018-09-28,0.017475058280205357,0.01854949304982146
2018-10-31,-0.07987975005622823,-0.07819166743499262
2018-11-30,0.010447179975125008,0.01537159195068016
2018-12-31,-0.04748728473790312,-0.05025516457288334
2019-01-31,0.06297387877447772,0.0714870996562299
2019-02-28,0.013071419813607349,0.008577479088800029
2019-03-29,0.008996699289400651,0.002544513084899597
2019-04-30,0.014385080657441963,0.015791928004471698
2019-05-31,-0.03766184416881435,-0.04658916388348523
2019-06-28,0.04465900754985222,0.0384040148702946
2019-07-31,-0.0014780259159512918,-0.0006467348987684194
2019-08-30,-0.029532195887878438,-0.024038055537073114
2019-09-30,0.03169675369381878,0.033454130463780415
2019-10-31,0.04222503010332253,0.04887908301472782
2019-11-29,0.0006623396556880351,-0.0012201467956395643
2019-12-31,0.02658707330149481,0.025897313606874618
2020-01-31,-0.018143769990916984,-0.026640997936447953
2020-02-28,-0.08249361081516099,-0.08393362673575439
2020-03-31,-0.1144225119748022,-0.14496234519230625
2020-04-30,0.06571679089092805,0.09585862244926117
2020-05-29,0.03326311885969749,0.04662567806560422
2020-06-30,0.022126715417788746,0.039076347865578856
2020-07-31,-0.007133950791691719,0.020700686024748803
2020-08-31,0.06659854055011025,0.06256801687417768
2020-09-30,-0.015582118169318844,-0.01588897407273674
2020-10-30,-0.011147110377491894,-0.006140110418567792
2020-11-30,0.1329161675884339,0.11609192660710335
2020-12-31,0.04500289559550907,0.056162805500458934
2021-01-29,-0.00443873334966188,0.010150917300346963
2021-02-26,0.02976928978150381,0.0044495792810834225
2021-03-31,0.014927497624814804,0.023159685137792527
2021-04-30,-0.0021535350922432055,0.02120913484337391
2021-05-31,0.021788004063490993,0.01175678200472063
