date,mv_returns
2014-01-31,-0.019196922283949217
2014-02-28,0.045141970844100196
2014-03-31,0.010562919934039386
2014-04-30,-0.020373983490640592
2014-05-30,0.051803624840315275
2014-06-30,0.050659667083171524
2014-07-31,0.017531307376539722
2014-08-29,0.015191662146868127
2014-09-30,-0.02004364314424063
2014-10-31,0.011500868848399435
2014-11-28,-0.0003111270643676115
2014-12-31,-0.020781025331704766
2015-01-30,0.05900318718627813
2015-02-27,0.009610603508301268
2015-03-31,0.005250657736676699
2015-04-30,0.04096767245493846
2015-05-29,0.010417710725297073
2015-06-30,0.001818963459649975
2015-07-31,0.016922888390658974
2015-08-31,-0.04699990704352485
2015-09-30,0.07555000901384035
2015-10-30,0.09077920455474482
2015-11-30,-0.055499600191580824
2015-12-31,0.08048664651829619
2016-01-29,-0.040226070537091124
2016-02-29,0.015979011716323183
2016-03-31,0.04935837000067865
2016-04-29,0.018772528457264667
2016-05-31,0.002782347498552234
2016-06-30,0.016031151478294748
2016-07-29,0.053872970126685286
2016-08-31,-0.023863759931391434
2016-09-30,0.025596568005388166
2016-10-31,-0.0014835447742583526
2016-11-30,-0.037590206293078625
2016-12-30,-0.014173985560368496
2017-01-31,0.049045735773223326
2017-02-28,0.007978450947370147
2017-03-31,0.01868172227419406
2017-04-28,0.0039002005492644945
2017-05-31,0.04433681067010323
2017-06-30,0.0021838646366049404
2017-07-31,0.01684007174898763
2017-08-31,-0.00923107078444664
2017-09-29,-0.01108353940884554
2017-10-31,0.019630825584752418
2017-11-30,0.027510108092755427
2017-12-29,-0.00940897503110376
2018-01-31,0.03232231773219265
2018-02-28,-0.013272961637095735
2018-03-30,-0.0011571136229475473
2018-04-30,0.0008678068485203443
2018-05-31,-0.0011537969145456852
2018-06-29,-0.012110301287921302
2018-07-31,0.004745501145383425
2018-08-31,-0.00136243224474588
2018-09-28,0.0179073728440485
2018-10-31,-0.05454535173503197
2018-11-30,-0.0020707251011158768
2018-12-31,-0.014566148014034629
2019-01-31,0.03610193916570092
2019-02-28,-0.0043909105928477375
2019-03-29,-0.01904619322111784
2019-04-30,-0.02796002137287911
2019-05-31,-0.02751728760027551
2019-06-28,0.012435206459045042
2019-07-31,-0.002461604287086355
2019-08-30,-0.02794618065776462
2019-09-30,0.02846865367788149
2019-10-31,0.022020146467368787
2019-11-29,0.0001843337984202536
2019-12-31,0.02680586933588825
2020-01-31,-0.012765728667285819
2020-02-28,-0.08075251300642122
2020-03-31,-0.07533374358903026
2020-04-30,0.014778172845125335
2020-05-29,0.0171817458179698
2020-06-30,-0.01892115868034406
2020-07-31,-0.0222475185032236
2020-08-31,0.06370552223866652
2020-09-30,-0.0034013865811819127
2020-10-30,-0.015463827990043614
2020-11-30,0.09822038163896876
2020-12-31,0.008890126402889298
2021-01-29,0.03537394656790885
2021-02-26,0.005157420054464163
2021-03-31,0.03352302074496283
2021-04-30,-0.010864101988526404
2021-05-31,-0.013061132797601297
2021-06-30,-0.004138499048859833
2021-07-30,-0.0018517830876182313
2021-08-31,0.03077395008004472
2021-09-30,-0.0007577788388734956
2021-10-29,-0.033656586884570766
2021-11-30,-0.027018206290915267
2021-12-31,0.009035263121807193
2022-01-31,-0.023638369101565127
2022-02-28,0.01226411693912826
2022-03-31,-0.028533132618082116
2022-04-29,-0.03187446313587545
2022-05-31,0.030996402899433437
2022-06-30,-0.0554257714109808
2022-07-29,0.026360758703982252
2022-08-31,-0.01660827868687696
2022-09-30,-0.06604861202784668
2022-10-31,-0.05888180249628178
2022-11-30,0.11035281109486914
2022-12-30,0.042943045076997484
2023-01-31,0.03475685486627915
2023-02-28,-0.03811545424913452
2023-03-31,0.02933151138477082
2023-04-28,0.026258736435501587
2023-05-31,0.0038655287109665244
2023-06-30,0.019345034116758676
2023-07-31,0.056912652195220695
2023-08-31,0.010155235848649358
2023-09-29,-0.013469189480962238
2023-10-31,-0.024375703042815736
2023-11-30,-0.01889890647003163
2023-12-29,0.05309052012244759
2024-01-31,0.021320585988319252
2024-02-29,-0.012630593923821773
2024-03-29,0.03839120058750846
2024-04-30,-0.012680727148917183
2024-05-31,-0.013966090724280122
2024-06-28,-0.03533771037242797
2024-07-31,0.06723932890455012
2024-08-30,0.0005165735055197764
2024-09-30,0.008716355310703555
2024-10-31,-0.026734196700844662
2024-11-29,0.037739908615837627
2024-12-31,-0.028212415071543595
2025-01-31,0.009155763950894248
2025-02-28,0.02938277786359764
2025-03-31,0.032245785529875524
2025-04-30,0.050941816519923515
2025-05-30,0.025476834326865143
2025-06-30,0.025614093983888107
2025-07-31,0.011775464366786954
2025-08-29,0.07363133158110188
2025-09-30,0.014644346479716016
2025-10-31,0.00578069441806851
2025-11-28,0.03634296032728225
2025-12-31,-0.004794283026675181
