year,implementation_year,portfolio,carbon_footprint,carbon_limit,slack,satisfied_within_1e-6,optimization_success,optimization_message
2017,2018,vw_nz,128.91003972160823,134.09768049497026,5.187640773362034,True,True,Optimization terminated successfully
2018,2019,vw_drift,181.3526352040792,181.3526352040792,0.0,True,True,annual VW allocation with drift
2018,2019,mv,867.6819643802362,,,True,True,Optimization terminated successfully
2018,2019,mv_50,433.8409821901181,433.8409821901181,0.0,True,True,Optimization terminated successfully
2018,2019,vw_50,90.67631760203962,90.6763176020396,-1.4210854715202004e-14,True,True,Optimization terminated successfully
2018,2019,vw_nz,120.68791244547324,120.68791244547324,0.0,True,True,Optimization terminated successfully
2019,2020,vw_drift,194.76483248079626,194.76483248079626,0.0,True,True,annual VW allocation with drift
2019,2020,mv,549.2168723190027,,,True,True,Optimization terminated successfully
2019,2020,mv_50,274.60843615950137,274.60843615950137,0.0,True,True,Optimization terminated successfully
2019,2020,vw_50,97.38241624039814,97.38241624039813,-1.4210854715202004e-14,True,True,Optimization terminated successfully
2019,2020,vw_nz,104.49333646058295,108.61912120092593,4.125784740342979,True,True,Optimization terminated successfully
2020,2021,vw_drift,154.73613770794228,154.73613770794228,0.0,True,True,annual VW allocation with drift
2020,2021,mv,1283.24762314194,,,True,True,Optimization terminated successfully
2020,2021,mv_50,641.62381157097,641.62381157097,0.0,True,True,Optimization terminated successfully
2020,2021,vw_50,60.61990382460229,77.36806885397114,16.74816502936885,True,True,Optimization terminated successfully
2020,2021,vw_nz,97.75720908083336,97.75720908083333,-2.842170943040401e-14,True,True,Optimization terminated successfully
2021,2022,vw_drift,151.9776765000583,151.9776765000583,0.0,True,True,annual VW allocation with drift
2021,2022,mv,1127.9486671775073,,,True,True,Optimization terminated successfully
2021,2022,mv_50,563.9743335887536,563.9743335887537,1.1368683772161603e-13,True,True,Optimization terminated successfully
2021,2022,vw_50,67.05057297718531,75.98883825002915,8.938265272843836,True,True,Optimization terminated successfully
2021,2022,vw_nz,80.65182955390097,87.98148817275,7.329658618849038,True,True,Optimization terminated successfully
2022,2023,vw_drift,153.18283330643,153.18283330643,0.0,True,True,annual VW allocation with drift
2022,2023,mv,543.9881282719231,,,True,True,Optimization terminated successfully
2022,2023,mv_50,271.99406413596165,271.99406413596154,-1.1368683772161603e-13,True,True,Optimization terminated successfully
2022,2023,vw_50,76.48726732311388,76.591416653215,0.10414933010112293,True,True,Optimization terminated successfully
2022,2023,vw_nz,74.5425579137024,79.18333935547501,4.640781441772617,True,True,Optimization terminated successfully
