year,rank,ISIN,name,country,cf_per_weight_tco2e_per_musd_invested,vw_weight,vw_cf_contribution
2018,8,JP3605400005,TOHOKU ELECTRIC PWR.,JP,5045.377634210122,0.0011866085177993787,5.986888076268208
2018,9,JP3246400000,KYUSHU ELEC.POWER,JP,5049.828803152318,0.000954233297985444,4.818714793093924
2018,10,SG1R50925390,SEMBCORP INDUSTRIES,SG,4892.195014083984,0.0008832174887222224,4.320872194678633
2019,1,JP3585800000,TOKYO ELECTRIC POWER CO. HDG.,JP,8377.133189888802,0.0019340247534830105,16.201582952469035
2019,2,JP3381000003,NIPPON STEEL,JP,4726.735340710582,0.0034164326653653475,16.14857301854044
2019,3,JP3551200003,ELEC.POWER DEV.,JP,11790.809763725189,0.000909108454530736,10.719124841966119
2019,4,JP3526600006,CHUBU ELEC.POWER,JP,4613.984694294057,0.0022861099843080866,10.548076477070337
2019,5,JP3386030005,JFE HOLDINGS,JP,4993.207137899397,0.0020795439709847523,10.383593799496722
2019,6,HK0002007356,CLP HOLDINGS,HK,1313.2696723470287,0.005781849084534027,7.593127052805969
2019,7,JP3605400005,TOHOKU ELECTRIC PWR.,JP,4804.802995546143,0.0013181386638179856,6.3333966004578475
2019,8,JP3228600007,KANSAI ELECTRIC PWR.,JP,2090.750706231177,0.002721287790218543,5.689534369257698
2019,9,SG1R50925390,SEMBCORP INDUSTRIES,SG,7565.961033601714,0.0006783663376325508,5.132493277034984
2019,10,JP3449020001,TAIHEIYO CEMENT,JP,5204.813823460808,0.000859680165576191,4.474475209546035
2020,1,JP3381000003,NIPPON STEEL,JP,5949.718516233515,0.0024144136813365317,14.365081785695489
2020,2,JP3551200003,ELEC.POWER DEV.,JP,12775.94777504941,0.0007619920786339242,9.735171001628359
2020,3,JP3386030005,JFE HOLDINGS,JP,7238.503914812797,0.0013340707407433017,9.656676279507597
2020,4,HK2380027329,CHIN.PWR.INTDVT.,HK,24961.99113303635,0.0003433943292331366,8.571806201452521
2020,5,HK0002007356,CLP HOLDINGS,HK,1727.0122248190476,0.004767616083088102,8.233731258737055
2020,6,JP3605400005,TOHOKU ELECTRIC PWR.,JP,6385.056463930691,0.0008748401071637692,5.585903481151843
2020,7,JP3228600007,KANSAI ELECTRIC PWR.,JP,2456.4889143466444,0.0019790691742442123,4.8615614872560755
2020,8,SG1R50925390,SEMBCORP INDUSTRIES,SG,9680.583260339916,0.0004960026727051281,4.801595170473121
2020,9,JP3449020001,TAIHEIYO CEMENT,JP,7246.103770002869,0.0006298069665825624,4.563646634927976
2020,10,JP3522200009,CHUGOKU ELEC.POWER,JP,3664.529462083463,0.0009517612839248072,3.48775726581284
2021,1,HK0836012952,CHINA RESOURCES POWER,HK,29963.1718061674,0.0008033973481913348,24.072332772476255
2021,2,JP3381000003,NIPPON STEEL,JP,5560.078687831991,0.0017871127678656137,9.93648761336204
2021,3,HK2380027329,CHIN.PWR.INTDVT.,HK,23708.13536570288,0.00035622866500282954,8.445517411030707
2021,4,JP3551200003,ELEC.POWER DEV.,JP,18476.49918962723,0.0004561472285893396,8.42800389938164
2021,5,HK0002007356,CLP HOLDINGS,HK,2027.946454389277,0.003699072618503516,7.501521201222665
2021,6,JP3386030005,JFE HOLDINGS,JP,8372.846821821868,0.0008754569388286196,7.330066847913109
2021,7,JP3605400005,TOHOKU ELECTRIC PWR.,JP,7255.409520569808,0.0006751164594257002,4.898246387210605
2021,8,JP3228600007,KANSAI ELECTRIC PWR.,JP,3133.1111688636383,0.0014344547577436347,4.494306222716166
2021,9,SG1R50925390,SEMBCORP INDUSTRIES,SG,11655.244934368106,0.00035003271364790906,4.079717012607913
2021,10,JP3449020001,TAIHEIYO CEMENT,JP,7484.364098475033,0.0005050132922582813,3.7797033538305596
2022,1,HK0836012952,CHINA RESOURCES POWER,HK,13064.476490832072,0.0018133767484172813,23.690817898719075
2022,2,JP3381000003,NIPPON STEEL,JP,4513.180187347197,0.002453497478193112,11.073076208287464
2022,3,HK2380027329,CHIN.PWR.INTDVT.,HK,11534.680805344045,0.0008310125450169321,9.585464452006912
2022,4,JP3386030005,JFE HOLDINGS,JP,6446.059892466307,0.001250215225921554,8.058962224763633
2022,5,JP3551200003,ELEC.POWER DEV.,JP,17311.15676073779,0.0004301047953131125,7.445611535210332
2022,6,HK0002007356,CLP HOLDINGS,HK,1747.9278970337773,0.003921303131396729,6.85415513609425
