date,mv_returns
2014-01-31,-0.030143678234069562
2014-02-28,0.04926622321018186
2014-03-31,0.018706461730831906
2014-04-30,-0.013901584517443423
2014-05-30,0.05732345572594313
2014-06-30,0.049036366510885325
2014-07-31,0.014453208979514243
2014-08-29,0.020849717670944685
2014-09-30,-0.028998240358383914
2014-10-31,0.023334442717249368
2014-11-28,-0.0044992457618568535
2014-12-31,-0.02033014573596533
2015-01-30,0.09993503175754252
2015-02-27,0.012736572450599875
2015-03-31,0.0007268385312512709
2015-04-30,0.06043448500667113
2015-05-29,0.01754725333381638
2015-06-30,0.019322241254508887
2015-07-31,0.0379546159939734
2015-08-31,-0.03054416236566746
2015-09-30,0.003930077238588262
2015-10-30,0.08304481748563364
2015-11-30,-0.03723462322721362
2015-12-31,0.07919132562324689
2016-01-29,-0.02647395397032877
2016-02-29,0.017562704011477942
2016-03-31,0.04205929917293533
2016-04-29,0.028879935960082773
2016-05-31,-0.004241026199542265
2016-06-30,0.032835980860892
2016-07-29,0.04625160220995328
2016-08-31,-0.028635368701860786
2016-09-30,0.02505357008030496
2016-10-31,-0.001274562581855862
2016-11-30,-0.04924590228581277
2016-12-30,-0.005530042873466123
2017-01-31,0.048001083242637826
2017-02-28,0.0054625017676778916
2017-03-31,0.014057121260177993
2017-04-28,0.005707468949527206
2017-05-31,0.04621738517045098
2017-06-30,0.0022151509228324068
2017-07-31,0.021563294249522694
2017-08-31,-0.008231940068567315
2017-09-29,-0.014290837037770603
2017-10-31,0.019992967445841395
2017-11-30,0.029696791431025837
2017-12-29,-0.014290191242152746
2018-01-31,0.030593905100145924
2018-02-28,-0.014944107161736506
2018-03-30,-0.0022344589637364413
2018-04-30,0.001858849339017344
2018-05-31,-0.004297338225797631
2018-06-29,-0.01392437929653267
2018-07-31,0.003602861437628552
2018-08-31,-0.0022186047641842696
2018-09-28,0.017321983764596524
2018-10-31,-0.05185306191099687
2018-11-30,-0.005187717250341749
2018-12-31,-0.01595973387383791
2019-01-31,0.03736465655915205
2019-02-28,-0.002280955065600228
2019-03-29,-0.016467761545005052
2019-04-30,-0.02749211469752871
2019-05-31,-0.027934681735841908
2019-06-28,0.013480956462447163
2019-07-31,-0.0010008375736113048
2019-08-30,-0.026708273301119807
2019-09-30,0.0280756249418185
2019-10-31,0.02182902711948468
2019-11-29,-0.0017600250449290506
2019-12-31,0.024808428066572637
2020-01-31,-0.018855692575806687
2020-02-28,-0.0763896327706077
2020-03-31,-0.09597565350401718
2020-04-30,0.03833586548130209
2020-05-29,0.024374913128269983
2020-06-30,-0.020229239171058573
2020-07-31,-0.038941523859051544
2020-08-31,0.07383187599705247
2020-09-30,0.001205233294404761
2020-10-30,-0.0006945088179938939
2020-11-30,0.0789285955019386
2020-12-31,0.018306336580620964
2021-01-29,0.02515964829617105
2021-02-26,-0.02957821025293714
2021-03-31,0.05345532557708532
2021-04-30,-0.004705523975955481
2021-05-31,-0.002691740182687757
2021-06-30,-0.0006645278852559764
2021-07-30,-0.0016995010968697656
2021-08-31,0.034181321347745874
2021-09-30,0.010046196063846033
2021-10-29,-0.019824990124465362
2021-11-30,-0.01171020958976439
2021-12-31,0.01427930596428056
2022-01-31,-0.03718045435646887
2022-02-28,0.008303028135258787
2022-03-31,-0.024400613776329842
2022-04-29,-0.03251417926624177
2022-05-31,0.034184229654741445
2022-06-30,-0.05654780616412512
2022-07-29,0.03265403179530184
2022-08-31,-0.01586646092232387
2022-09-30,-0.05639754853826231
2022-10-31,-0.014786700184928378
2022-11-30,0.09141251947640155
2022-12-30,0.004552494152090275
2023-01-31,0.03831261607565372
2023-02-28,-0.043066022663102825
2023-03-31,0.04731534600046994
2023-04-28,0.03494131265685956
2023-05-31,-0.0071265477540746296
2023-06-30,0.020805999842123432
2023-07-31,0.036002933735855
2023-08-31,0.023149294756342184
2023-09-29,-0.010906307049570685
2023-10-31,-0.027140411118727233
2023-11-30,-0.13059914938629058
2023-12-29,0.0638831613536105
2024-01-31,0.014881065199046755
2024-02-29,0.0008056877921196592
2024-03-29,0.046875226834727224
2024-04-30,-0.02050912898012591
2024-05-31,-0.010710526829096543
2024-06-28,-0.038789173035717245
2024-07-31,0.08197651406370837
2024-08-30,-0.006922668862773302
2024-09-30,0.013764516245321098
2024-10-31,-0.03620980833967708
2024-11-29,0.04523827781072609
2024-12-31,-0.020153119867006977
2025-01-31,0.04767720661507413
2025-02-28,0.052941625869100534
2025-03-31,0.03805677552659362
2025-04-30,0.07916918782803903
2025-05-30,0.016647022176135434
2025-06-30,0.052317811500719305
2025-07-31,0.013175838992472202
2025-08-29,0.031608204708981465
2025-09-30,0.022935684227250775
2025-10-31,-0.0008144234264528885
2025-11-28,0.02496012511374495
2025-12-31,0.00042170372828996463
