date,vw,vw_nz
2014-01-31,-0.0435127722073147,-0.041176406430836796
2014-02-28,0.01923710417884276,0.032147084846549406
2014-03-31,0.002667060585014067,0.00815073943363155
2014-04-30,-0.006863162070882226,-0.00015170016584214584
2014-05-30,0.030302266320730617,0.031183531198146056
2014-06-30,0.03215080530918248,0.029630780822247647
2014-07-31,0.021863189297352342,0.01827182624001514
2014-08-29,-0.011839640947987775,-0.0021204029003753177
2014-09-30,-0.0365544455773531,-0.050867995572297244
2014-10-31,0.008397355326879094,0.008107607534029945
2014-11-28,-0.009230784712233216,-0.017202343435883907
2014-12-31,-0.013952640197414906,-0.006133934793675743
2015-01-30,0.01878321379778549,0.01399017674302374
2015-02-27,0.0481324035016806,0.05404336388776594
2015-03-31,0.008499669978513223,0.001325944617621399
2015-04-30,0.04339153971251602,0.0521478483215425
2015-05-29,-0.00048766076898099434,0.006972061805399043
2015-06-30,-0.0244906221800913,-0.02645325697629068
2015-07-31,-0.005740245852700872,0.0004828397291238135
2015-08-31,-0.07545156150749388,-0.0792435544470641
2015-09-30,-0.05303131617415789,-0.053004484621866854
2015-10-30,0.08855797712047303,0.09624020687530457
2015-11-30,-0.010329047446440847,-0.009267735249239089
2015-12-31,0.00995863526575407,0.014436405856497558
2016-01-29,-0.08064196513267868,-0.07877513085736007
2016-02-29,-0.013551074912702174,-0.011421629273731571
2016-03-31,0.06865785126476041,0.07745488392680991
2016-04-29,0.031893726014141525,0.038005355648117786
2016-05-31,-0.01395523332003342,-0.015701884170924156
2016-06-30,-0.010704338215011143,-0.010623285211428572
2016-07-29,0.06097672885099979,0.07359167568984826
2016-08-31,0.0008252666820156799,-0.0019486262103477967
2016-09-30,0.018091864199704745,0.022370273423670775
2016-10-31,0.0022002378633200204,0.0015805619743715113
2016-11-30,-0.0193853415037926,-0.021833151088098794
2016-12-30,0.004182880989879277,0.01446040104431279
2017-01-31,0.044008808681718345,0.03051565985076165
2017-02-28,0.020235646535629703,0.019192647781682996
2017-03-31,0.007494005023622635,0.0052382567736312035
2017-04-28,0.006950162811556661,0.006853586391222415
2017-05-31,0.021540045054208437,0.013708795942874236
2017-06-30,0.011788927256215793,0.014830623480954076
2017-07-31,0.02917955955950129,0.02706088516182615
2017-08-31,0.0009691910932250903,0.002609812835062629
2017-09-29,0.009006922539495404,0.008761865838402749
2017-10-31,0.03591515536865918,0.034100707058188226
2017-11-30,0.024286753674182048,0.02415051372965536
2017-12-29,0.011116717346631944,0.01714548755998314
2018-01-31,0.04747443369614183,0.04211488701491708
2018-02-28,-0.02305592766770853,-0.03266949907536355
2018-03-30,-0.02544824223105958,-0.025674897614474484
2018-04-30,0.011847365533356233,0.0156342305441687
2018-05-31,-0.008392158080193014,-0.006233428578834471
2018-06-29,-0.022654471138383037,-0.01937722403055618
2018-07-31,0.01074350619689626,0.01682703802250066
2018-08-31,-0.006412787347662502,-0.013677550658395187
2018-09-28,0.01910154098447456,0.019670297530619156
2018-10-31,-0.08410320768199933,-0.07747007356910886
2018-11-30,0.015171950406803747,0.018273686288885965
2018-12-31,-0.0506157077243855,-0.04772431058702396
2019-01-31,0.060708130236506494,0.07091258047371081
2019-02-28,0.01193131175534536,0.0091619993604502
2019-03-29,0.010925846534202926,0.003465538242156077
2019-04-30,0.014664674766271188,0.013062483077744417
2019-05-31,-0.039074686956954395,-0.04572189737148815
2019-06-28,0.043944832909084144,0.03536300256243279
2019-07-31,-0.0029181518151323036,-0.001825443390852161
2019-08-30,-0.02647841303720931,-0.02347891447150084
2019-09-30,0.029667376126620508,0.03595697733637817
2019-10-31,0.04161881814148814,0.04956404976829438
2019-11-29,0.0016866094024951491,-0.0005704955170713728
2019-12-31,0.024643256686344314,0.027467620763291917
2020-01-31,-0.017955842627167873,-0.02743767767369861
2020-02-28,-0.08273695855552066,-0.09145311233628302
2020-03-31,-0.1075507287831457,-0.1534747456810767
2020-04-30,0.06712285531199444,0.1078665007722923
2020-05-29,0.036090180848006664,0.054476829198362095
