year,portfolio,ISIN,name,country,weight,ci,cf_per_weight
2013,mv,HK0006000050,POWER ASSETS HOLDINGS,HK,0.2139778911952697,6673.762504925252,486.0802564073353
2013,mv,HK0002007356,CLP HOLDINGS,HK,0.13258356845993866,2829.3242424076534,1780.619485177722
2013,mv,JP3982100004,LAWSON DEAD - DELIST.24/07/24,JP,0.12429702080528732,1.3658511158070636,0.9878000142050888
2013,mv,JP3414750004,SEIKO EPSON,JP,0.08278693807138635,20.108682311016203,85.74264241326959
2013,mv,JP3977400005,RINNAI,JP,0.06347178215058065,10.926408609698822,7.656471481387113
2013,mv,JP3260800002,KINTETSU GROUP HDG.,JP,0.039234322606524694,3.6024524974727834,5.228456696331669
2013,mv,JP3350800003,SHIKOKU ELECTRIC POWER,JP,0.03182801919701204,1550.5618014714948,3436.199277554688
2013,mv,JP3371200001,SHIN-ETSU CHEMICAL,JP,0.027923863239374225,123.99632080143472,53.606763952058095
2013,mv,HK0019000162,SWIRE PACIFIC 'A',HK,0.02581041701979046,2844.092886297964,1378.1423635960036
2013,mv,JP3429800000,ANA HOLDINGS,JP,0.023473395716812392,572.4537636761308,1332.9158521882644
2013,mv,HK0823032773,LINK REAL ESTATE INVESTMENT TRUST,HK,0.022824159953705608,0.0,0.0
2013,mv,JP3357200009,SHIMADZU,JP,0.020292971203537215,1.1430550624263855,1.62427668542796
2013,mv,SG1J26887955,SINGAPORE EXCHANGE,SG,0.019378144749799528,0.08957828853455699,0.006906723584010266
2013,mv,AU000000ORG5,ORIGIN ENERGY (EX BORAL),AU,0.018256495273066428,950.9628751415604,960.6717319372199
2013,mv,JP3164800009,NOK,JP,0.017838870104324975,7.947415022007363,17.378297842543823
2013,mv,JP3573000001,TOKYO GAS,JP,0.016896531478060375,131.11698355683038,226.02421901896508
2013,mv,AU000000SIG5,SIGMA HEALTHCARE,AU,0.015806832071652278,1.4966958315387144,5.621563236449332
2013,mv,JP3526600006,CHUBU ELEC.POWER,JP,0.014217496963056691,1913.7882534763532,5953.153246663381
2013,mv,JP3119600009,AJINOMOTO,JP,0.014078291093366875,105.22537042051734,151.62674814046957
2013,mv,JP3734800000,NIDEC,JP,0.013810715138720526,2.344924546793303,2.1237098273247565
2013,mv,JP3738600000,NITERRA,JP,0.011736630958566755,24.188200889056272,26.822272257767274
2013,mv,HK0003000038,HONG KONG AND CHINA GAS,HK,0.00892211735959174,249.32330976849352,32.27980017957402
2013,mv,AU000000TLS2,TELSTRA GROUP,AU,0.006640463942407993,2.009111768485008,0.89149161861608
2013,mv,JP3850200001,HOKKAIDO ELEC.POWER,JP,0.006199611185445256,2344.0433940256116,7722.403162703046
2013,mv,JP3522200009,CHUGOKU ELEC.POWER,JP,0.006146891456575362,3122.7360733726646,8642.91321100956
2013,mv,NZAIAE0002S6,AUCKLAND INTL.AIRPORT,NZ,0.005655648499901406,6.711821628593924,0.7591451091350041
2013,mv,BMG8063F1068,SHANGRI-LA ASIA,HK,0.005357774741514756,73.80705822868507,20.107335900176555
