year,portfolio,ISIN,name,country,weight,ci,cf_per_weight
2013,vw_nz,JP3633400001,TOYOTA MOTOR,JP,0.05526396355870522,11.516275142521295,16.294735007992305
2013,vw_nz,AU000000BWP3,BWP GROUP STAPLED UNITS,AU,0.044566909723317505,0.0,0.0
2013,vw_nz,AU000000BHP4,BHP GROUP,AU,0.04059195784147977,329.4660755146728,173.69586186189173
2013,vw_nz,AU000000CBA7,COMMONWEALTH BK.OF AUS.,AU,0.03530472301161619,0.22976128852495517,0.10066709056033145
2013,vw_nz,AU000000ANZ3,ANZ GROUP HOLDINGS,AU,0.026273661195555555,0.42653063075284786,0.21020265328751286
2013,vw_nz,JP3902900004,MITSUBISHI UFJ FINL.GP.,JP,0.024176491336358474,0.37365369338331517,0.2356761279616212
2013,vw_nz,AU000000WBC1,WESTPAC BANKING,AU,0.023683818752425177,0.2424948657744411,0.11672880416523579
2013,vw_nz,JP3726800000,JAPAN TOBACCO,JP,0.022951114753895795,22.18137304447431,6.349151739253161
2013,vw_nz,JP3854600008,HONDA MOTOR,JP,0.020716139298775735,13.690452442557799,20.508351116934257
2013,vw_nz,JP3890350006,SUMITOMO MITSUI FINL.GP.,JP,0.018303217278734248,0.13857339299016877,0.11247513568421956
2013,vw_nz,AU000000NAB4,NATIONAL AUS.BANK,AU,0.016512015973954474,0.42255082061363747,0.3056608692069693
2013,vw_nz,AU000000CSL8,CSL,AU,0.01605612862951343,11.579611370152607,1.953427836778747
2013,vw_nz,JP3551500006,DENSO,JP,0.01554940711617007,15.040850157403815,17.060009631422982
2013,vw_nz,AU000000TLS2,TELSTRA GROUP,AU,0.01519650865277171,2.009111768485008,0.89149161861608
2013,vw_nz,JP3672400003,NISSAN MOTOR,JP,0.01479673515356447,8.176861977202416,18.31151658959873
2013,vw_nz,JP3496400007,KDDI,JP,0.01394584187284453,0.07503500381654968,0.08909902054568389
2013,vw_nz,JP3242800005,CANON,JP,0.013847401413074093,3.4083648386453236,2.678441648399843
2013,vw_nz,AU0000224040,WOODSIDE ENERGY GROUP,AU,0.012799433191314151,1442.9465773539716,300.6496835387096
2013,vw_nz,JP3566800003,CENTRAL JAPAN RAILWAY,JP,0.012737151350636746,4.671222159296967,4.490025688559471
2013,vw_nz,AU000000WES1,WESFARMERS,AU,0.012316696779878893,40.87489855908115,63.39949334462042
2013,vw_nz,HK0388045442,HONG KONG EXCHANGES AND CLEARING,HK,0.011230973514594884,0.14082489395642683,0.005291591797485308
2013,vw_nz,JP3910660004,TOKIO MARINE HOLDINGS,JP,0.010971033495704842,0.5103550696134227,0.8094524969563086
2013,vw_nz,JP3898400001,MITSUBISHI,JP,0.01025645087284526,51.20743267166512,95.00547785344008
2013,vw_nz,JP3830000000,BROTHER INDUSTRIES,JP,0.010137932070967099,1.9596452228319061,3.630551471845191
2013,vw_nz,JP3762600009,NOMURA HDG.,JP,0.009901949828512743,0.17626858494552625,0.1717200012870719
2013,vw_nz,JP3982100004,LAWSON DEAD - DELIST.24/07/24,JP,0.00934764462900223,1.3658511158070636,0.9878000142050888
2013,vw_nz,JP3475350009,DAIICHI SANKYO,JP,0.009140990286946699,12.212849820260306,11.100384784483198
2013,vw_nz,JP3684000007,NITTO DENKO,JP,0.008889556905123303,58.31596714893823,40.55192817893168
2013,vw_nz,HK0011000095,HANG SENG BANK DEAD - DELIST.28/01/26,HK,0.008290244220927185,0.0,0.0
2013,vw_nz,HK0066009694,MTR,HK,0.008282120996231953,11.277347649447377,2.1839733223591704
2013,vw_nz,JP3902400005,MITSUBISHI ELECTRIC,JP,0.008157369502349996,8.315770357470692,18.542128060458854
2013,vw_nz,JP3667600005,JGC HOLDINGS,JP,0.008064788117654405,18.147926068588394,16.463667772345165
2013,vw_nz,JP3205800000,KAO,JP,0.008000904373445833,43.14549449572554,42.41382542361567
2013,vw_nz,HK0823032773,LINK REAL ESTATE INVESTMENT TRUST,HK,0.007995236131122645,0.0,0.0
2013,vw_nz,JP3294460005,INPEX,JP,0.007840662851256902,37.09274367432907,23.35972036203061
