year,implementation_year,portfolio,carbon_footprint,carbon_limit,slack,satisfied_within_1e-6,optimization_success,optimization_message
2013,2014,vw_50,79.46793796626653,79.46793796626652,-1.4210854715202004e-14,True,True,Optimization terminated successfully
2014,2015,vw_50,71.60700473987342,72.12358370418181,0.516578964308394,True,True,Optimization terminated successfully
2015,2016,vw_50,94.12228382751593,94.12228382751591,-1.4210854715202004e-14,True,True,Optimization terminated successfully
2016,2017,vw_50,120.18304832106892,120.18304832106891,-1.4210854715202004e-14,True,True,Optimization terminated successfully
2017,2018,vw_50,105.69911559461877,105.69911559461873,-4.263256414560601e-14,True,True,Optimization terminated successfully
2018,2019,vw_50,69.8822866205114,89.24654572752483,19.36425910701344,True,True,Optimization terminated successfully
2019,2020,vw_50,88.45625177246812,95.49064079649669,7.03438902402857,True,True,Optimization terminated successfully
2020,2021,vw_50,77.84410027404317,77.84410027404319,1.4210854715202004e-14,True,True,Optimization terminated successfully
2021,2022,vw_50,75.8492604393152,75.95862859555716,0.10936815624195617,True,True,Optimization terminated successfully
2022,2023,vw_50,74.44183325306696,76.52802227496568,2.0861890218987185,True,True,Optimization terminated successfully
2023,2024,vw_50,77.7217251332419,77.7217251332419,0.0,True,True,Optimization terminated successfully
2024,2025,vw_50,73.3663385536144,74.07673106272671,0.7103925091123102,True,True,Optimization terminated successfully
