year,rank,ISIN,name,country,cf_per_weight_tco2e_per_musd_invested,vw_weight,vw_cf_contribution
2013,1,JP3551200003,ELEC.POWER DEV.,JP,14430.503346841644,0.0012962946683127189,18.706184549579667
2013,2,HK0002007356,CLP HOLDINGS,HK,1780.619485177722,0.007427997979745903,13.226437938596309
2013,3,AU000000BHP4,BHP GROUP,AU,173.69586186189173,0.043802756567425306,7.608357553905576
2013,4,JP3753000003,NIPPON YUSEN KK,JP,5197.49120604621,0.001352631097655047,7.030288235086739
2013,5,JP3362700001,MITSUI OSK LINES,JP,4941.733043187318,0.0013333750363549806,6.5891834761164985
2013,6,JP3845400005,HOKURIKU ELEC.POWER,JP,7788.31920333737,0.0008223666179355978,6.404853722651422
2013,7,JP3289800009,KOBE STEEL,JP,4092.384129319641,0.0013726445363661612,5.617388715822195
2013,8,HK0019000162,SWIRE PACIFIC 'A',HK,1378.1423635960036,0.004035102803746851,5.560946115308546
2013,9,HK0293001514,CATHAY PACIFIC AIRWAYS,HK,2094.881640992157,0.002627089779788057,5.503442148916129
2013,10,SG1V61937297,SINGAPORE AIRLINES,SG,1323.5577419916451,0.0037145972834442356,4.916483992883752
2014,1,JP3551200003,ELEC.POWER DEV.,JP,11241.18567595708,0.0014951101765390358,16.80681110048827
2014,2,HK0002007356,CLP HOLDINGS,HK,2005.7279541679757,0.005924762900996289,11.883462572345607
2014,3,AU000000BHP4,BHP GROUP,AU,220.14781131373547,0.032039064186939185,7.053329857294948
2014,4,JP3753000003,NIPPON YUSEN KK,JP,3701.552033183536,0.001706433532012378,6.31645250991298
2014,5,JP3362700001,MITSUI OSK LINES,JP,3805.5266901401346,0.0015399096963110528,5.8601674497173
2014,6,JP3845400005,HOKURIKU ELEC.POWER,JP,7143.87659454643,0.0008055182344470106,5.754522861546363
2014,7,HK0019000162,SWIRE PACIFIC 'A',HK,1746.0008471610895,0.0030369152610496258,5.302456618549088
2014,8,HK0293001514,CATHAY PACIFIC AIRWAYS,HK,2041.7494164607117,0.002534575244296818,5.1749675260187935
2014,9,JP3289800009,KOBE STEEL,JP,3161.549885453912,0.001596373621494649,5.047014840178054
2014,10,AU000000ORG5,ORIGIN ENERGY (EX BORAL),AU,1081.667567211291,0.004289934649407418,4.6402831757199445
2015,1,JP3585800000,TOKYO ELECTRIC POWER CO. HDG.,JP,14717.901439218125,0.0018457483570363416,27.16554240045966
2015,2,JP3526600006,CHUBU ELEC.POWER,JP,6111.478740415972,0.0027066432553579517,16.541592713010402
2015,3,JP3551200003,ELEC.POWER DEV.,JP,8179.98693379791,0.0018476511990359293,15.113762666329944
