date,vw,vw_drift,mv,mv_50,vw_50,vw_nz
2014-01-31,-0.043955493730537976,-0.0393989698568664,-0.026240064447586527,-0.030798523011087906,-0.03859567200893421,-0.039565772514657316
2014-02-28,0.01942391596553331,0.029794863177377118,0.04741915430634029,0.0451288323479262,0.03092060541465618,0.02640236771590845
2014-03-31,0.0028433296644927632,0.006669393100496044,0.014885321784024512,0.016838178395634867,-0.00026903479566018577,0.006198771035279123
2014-04-30,-0.0063959698381651706,-0.0010739835410390531,0.012273664721337575,0.012434649747309255,-0.0016628344504373933,-0.0018088702993366557
2014-05-30,0.030600669797495768,0.027773709959509674,0.04247831550010014,0.048317983496418755,0.021518198957418036,0.026726093118937814
2014-06-30,0.03166474642836773,0.029645313052765385,0.035345518805853765,0.03373836312672686,0.024115073357980063,0.027662632739525236
2014-07-31,0.021985799423624938,0.019150627325813855,0.007860953859280716,0.007171051607541149,0.020288880571366092,0.018645018453024645
2014-08-29,-0.011747571506200385,-0.008388549262042494,0.0031877006375587336,0.0044873192708516745,-0.005055362358760142,-0.010958025225460438
2014-09-30,-0.0367479933667073,-0.04398142255623477,-0.03578995274293459,-0.03407062222161309,-0.04339182128405149,-0.04432516344231841
2014-10-31,0.008170640458407007,0.007742612009277032,0.03482217049022777,0.03180879925108819,-0.005201163069276143,0.008009595791541205
2014-11-28,-0.009189226685321423,-0.015584482376909053,-0.029382512899506594,-0.03376110109910239,0.0009351811436379746,-0.012856059311013227
2014-12-31,-0.013999635844176538,-0.013139811569332804,-0.0032053409195361192,-0.003426647029903044,-0.0023509791258621445,-0.009286364945122217
2015-01-30,0.01850837129862104,0.013482395904101965,0.09689793242539564,0.09935106177438406,0.012834432605637396,0.010551383172636713
2015-02-27,0.047864536565269414,0.05411808808812576,0.016444386244922976,0.018034840933444245,0.0563296681318597,0.05734501377776535
2015-03-31,0.008247177050904178,-0.0001935952521466102,0.0012124668339883373,0.005033742671175472,0.0009889833232363879,-0.00039438839708341614
2015-04-30,0.043950542470956554,0.04115494949843934,0.058538088435559466,0.05823251813128459,0.04499535428980656,0.043680044982139725
2015-05-29,-0.0006253808499870608,-0.0024126808096352572,0.015274219801910991,0.01802489958556562,0.002715919876881126,0.002519753964023884
2015-06-30,-0.024562083042394618,-0.027785332447112825,0.019502871526721175,0.02178582196449847,-0.03353538437301003,-0.029498826491075717
2015-07-31,-0.005584550473069239,-0.0010547303750968354,0.03661355045547217,0.03243688416824122,0.0024350398824009877,0.0041904942236740805
2015-08-31,-0.07565823806146096,-0.07884867885666524,-0.02653869463825493,-0.023250129758861295,-0.08199370760965577,-0.08096223010102194
2015-09-30,-0.05329624751141272,-0.05775373613302777,0.00368723587524905,0.004367401704749866,-0.05113310489361438,-0.05278429332732232
2015-10-30,0.088109304024108,0.0888008655583729,0.08281339558757678,0.08743055562438362,0.08815659746956528,0.08774654829040543
2015-11-30,-0.010767427835909232,-0.00885811272033691,-0.0369294520526553,-0.03111244903647091,-0.010130160581551178,-0.01007989292669918
2015-12-31,0.009691500483413986,0.012363315419677251,0.08157265935727305,0.08595770212762084,0.014517293448924768,0.016720398348427735
2016-01-29,-0.08047210921579628,-0.08432484876524063,-0.025743012104013155,-0.027454288049447488,-0.08822139897892628,-0.08751806140505927
2016-02-29,-0.01455653750187549,-0.024492329883830953,0.02344752991902215,0.021643691153057473,-0.021601658133105845,-0.021687353381782147
2016-03-31,0.06871864869233471,0.07681474601385813,0.03684372610017858,0.03617534880672073,0.07672897500393827,0.07711991361581799
2016-04-29,0.03135789173217812,0.035295216871629356,0.02908461852444975,0.0236026451333769,0.03268967876570967,0.030810850275325267
2016-05-31,-0.014250226205807123,-0.01857516422031484,-0.005271076075113266,-0.00901662461699767,-0.016868000235666133,-0.01813084185928195
2016-06-30,-0.011121179620823513,-0.013056247197759982,0.03190484778017249,0.01565583475246349,-0.020137570356298026,-0.01818928377644123
2016-07-29,0.061014029602331425,0.07314985205315966,0.04121794971306207,0.043972884377653246,0.07175715581855635,0.06896509248494728
2016-08-31,0.0009644422221819597,0.0028342834190643916,-0.02897997772998518,-0.030867545558034302,0.005806539715146357,0.008312192231393012
2016-09-30,0.018131930389305207,0.018971458771024158,0.026741185596929482,0.03004082021635521,0.018997774573947336,0.019684131689804978
2016-10-31,0.0021034392626789918,0.007965808663179582,-0.005599340274346399,-0.008536573391007534,0.008438751516380374,0.00895035647148016
2016-11-30,-0.018686541830237324,-0.014782008193406537,-0.05091099365544092,-0.04964614480609168,-0.008900652844180854,-0.006665599403657105
2016-12-30,0.003929926420614216,0.00545453600234108,-0.003489107296448423,0.0008808478599210412,0.009796158387498555,0.00991778833384109
2017-01-31,0.0432345653846618,0.03801751517740926,0.04819338500686995,0.0442542499778001,0.037943694497983446,0.03831309877006317
2017-02-28,0.020350245846779386,0.02113343367425171,0.0061268843033090116,-0.0014323216787960028,0.024925044977747515,0.025148677830411574
2017-03-31,0.007721373326562993,0.00531630720622649,0.014858540710116611,0.004259193192587214,0.0029823119499887804,0.0036650998742073105
2017-04-28,0.0069833184642192556,0.004271895767973783,0.004850107507386677,0.007071489980549413,0.003263842031562673,0.0030182587872261803
2017-05-31,0.020390547379650285,0.016675749492999457,0.04686400735768473,0.05076228173962785,0.017786123520059836,0.018049607610882427
2017-06-30,0.011988970619564152,0.01189560147337132,0.0014082565217123167,0.003759706890648431,0.01251843972059194,0.012892155822523796
