portfolio,annualized_return,annualized_volatility,annualized_rf,return_to_volatility,excess_sharpe_ratio,tracking_error_vs_vw,minimum_monthly_return,maximum_monthly_return,cumulative_return,terminal_growth
vw,0.07351273643222117,0.12888657963583328,0.017475,0.570367656895932,0.4347833311315637,,-0.11017256201130869,0.1316749891287063,1.1818656971830652,2.1818656971830652
mv,0.0913799278795826,0.11991434452690443,0.017475,0.7620433421881422,0.6163143214530186,0.09998281106532246,-0.1269291126653486,0.09689793242540252,1.7357353596580354,2.7357353596580354
mv_50,0.08884402398611702,0.12752119567724382,0.017475,0.6967000545617629,0.5596640119870898,0.10669117341191128,-0.15974264194547277,0.09935106177420389,1.6230902229783877,2.6230902229783877
vw_50,0.07358095603205465,0.1345454298710585,0.017475,0.5468855843158025,0.4170038037399246,0.029184891579695955,-0.11580531544050482,0.11202699412108755,1.1634598450765936,2.1634598450765936
vw_nz,0.07503584685134672,0.13494544235910094,0.017475,0.556045802952501,0.42654902488794366,0.028662078528249056,-0.11874087036331435,0.11610408567575144,1.2000087473145626,2.2000087473145626
