date,vw,vw_nz
2014-01-31,-0.043955493730537976,-0.039565772514657316
2014-02-28,0.01942391596553331,0.02640236771590845
2014-03-31,0.0028433296644927632,0.006198771035279123
2014-04-30,-0.0063959698381651706,-0.0018088702993366557
2014-05-30,0.030600669797495768,0.026726093118937814
2014-06-30,0.03166474642836773,0.027662632739525236
2014-07-31,0.021985799423624938,0.018645018453024645
2014-08-29,-0.011747571506200385,-0.010958025225460438
2014-09-30,-0.0367479933667073,-0.04432516344231841
2014-10-31,0.008170640458407007,0.008009595791541205
2014-11-28,-0.009189226685321423,-0.012856059311013227
2014-12-31,-0.013999635844176538,-0.009286364945122217
2015-01-30,0.01850837129862104,0.010551383172636713
2015-02-27,0.047864536565269414,0.05734501377776535
2015-03-31,0.008247177050904178,-0.00039438839708341614
2015-04-30,0.043950542470956554,0.043680044982139725
2015-05-29,-0.0006253808499870608,0.002519753964023884
2015-06-30,-0.024562083042394618,-0.029498826491075717
2015-07-31,-0.005584550473069239,0.0041904942236740805
2015-08-31,-0.07565823806146096,-0.08096223010102194
2015-09-30,-0.05329624751141272,-0.05278429332732232
2015-10-30,0.088109304024108,0.08774654829040543
2015-11-30,-0.010767427835909232,-0.01007989292669918
2015-12-31,0.009691500483413986,0.016720398348427735
2016-01-29,-0.08047210921579628,-0.08751806140505927
2016-02-29,-0.01455653750187549,-0.021687353381782147
2016-03-31,0.06871864869233471,0.07711991361581799
2016-04-29,0.03135789173217812,0.030810850275325267
2016-05-31,-0.014250226205807123,-0.01813084185928195
2016-06-30,-0.011121179620823513,-0.01818928377644123
2016-07-29,0.061014029602331425,0.06896509248494728
2016-08-31,0.0009644422221819597,0.008312192231393012
2016-09-30,0.018131930389305207,0.019684131689804978
2016-10-31,0.0021034392626789918,0.00895035647148016
2016-11-30,-0.018686541830237324,-0.006665599403657105
2016-12-30,0.003929926420614216,0.00991778833384109
2017-01-31,0.0432345653846618,0.03831309877006317
2017-02-28,0.020350245846779386,0.025148677830411574
2017-03-31,0.007721373326562993,0.0036650998742073105
2017-04-28,0.0069833184642192556,0.0030182587872261803
2017-05-31,0.020390547379650285,0.018049607610882427
2017-06-30,0.011988970619564152,0.012892155822523796
2017-07-31,0.028902807371552396,0.02901097761791553
2017-08-31,-0.00022699746250656044,0.0015429720737916127
2017-09-29,0.008709086117311407,0.010741939831191599
2017-10-31,0.035585989008485155,0.030847674900771383
2017-11-30,0.02359421373414594,0.017649880931341608
2017-12-29,0.011585578715047007,0.013636573545363663
2018-01-31,0.047392086073060974,0.04496529234362445
2018-02-28,-0.023377879858310514,-0.027665108439502668
2018-03-30,-0.026154213792678592,-0.03068814527806653
2018-04-30,0.01226684664081672,0.008069945401012111
2018-05-31,-0.008705434861156887,-0.00922214974980115
2018-06-29,-0.022138005759694844,-0.02239783623651438
2018-07-31,0.01161169241428355,0.011619811309876715
2018-08-31,-0.007338418440852507,-0.012506048449431297
2018-09-28,0.01914969095292754,0.017283368401381432
2018-10-31,-0.08297108222845549,-0.08395472733144055
2018-11-30,0.014369569011074846,0.01041309317422476
2018-12-31,-0.05019110918976566,-0.05254816461035004
2019-01-31,0.061268600693814665,0.0691044624213504
2019-02-28,0.010796085528214889,0.03411883496980217
2019-03-29,0.010223878454090344,0.004399085817097134
2019-04-30,0.014996330252187672,0.036931413367842274
2019-05-31,-0.038676418195511694,-0.07980720658298561
2019-06-28,0.043925706515151555,0.049129150484020674
2019-07-31,-0.0025439113761235293,-0.006648242350678048
2019-08-30,-0.027732442732587827,-0.04971565591322852
2019-09-30,0.029208067485801483,0.03074189310114947
2019-10-31,0.04202268457359781,0.0432741224748979
2019-11-29,0.0006107004190939753,-0.00201236363471309
2019-12-31,0.02459557064890633,0.029054235283029837
2020-01-31,-0.017670450072577143,-0.019565633947131594
2020-02-28,-0.08258391454667044,-0.09338870237901972
2020-03-31,-0.11017256201130869,-0.11874087036331474
2020-04-30,0.06626370930230167,0.0696412816506405
2020-05-29,0.03363822673668151,0.05349841894533655
2020-06-30,0.02086746232868168,0.04244313453028273
