year,rank,ISIN,name,country,ci_tco2e_per_musd_revenue,vw_weight,vw_waci_contribution
2022,7,AU000000BHP4,BHP GROUP,AU,150.23564708887065,0.025616955170344406,3.8485798364632826
2022,8,SG1V61937297,SINGAPORE AIRLINES,SG,2095.858561395011,0.0017193319743527356,3.603476638327368
2022,9,AU000000STO6,SANTOS,AU,1273.487657474776,0.0027751197783837714,3.5340807857858683
2022,10,JP3381000003,NIPPON STEEL,JP,1290.3677829557635,0.0024593319555504677,3.1734427230359192
2023,1,HK0006000050,POWER ASSETS HOLDINGS,HK,42627.38059812528,0.0020597024348510723,87.799719609282
2023,2,BMG2178K1009,CKI HOLDINGS,HK,8343.966027227063,0.002418918763796015,20.183375987736035
2023,3,HK0836012952,CHINA RESOURCES POWER,HK,10581.892252095007,0.001708528224730967,18.079461583766257
2023,4,HK0002007356,CLP HOLDINGS,HK,2973.187555757492,0.0031732556671278563,9.43468426074148
2023,5,HK2380027329,CHIN.PWR.INTDVT.,HK,7536.856600288193,0.0009133189912171419,6.883554267123469
2023,6,AU0000224040,WOODSIDE ENERGY GROUP,AU,531.7145848933534,0.008061461099710794,4.286396442266641
2023,7,AU000000BHP4,BHP GROUP,AU,130.05612490785322,0.02967955937831923,3.8600084817167324
2023,8,JP3381000003,NIPPON STEEL,JP,1039.9250659550285,0.0033810289725602367,3.516016777285566
2023,9,SG1V61937297,SINGAPORE AIRLINES,SG,1263.2430647324663,0.0022897266152268167,2.8924812668186206
2023,10,HK0293001514,CATHAY PACIFIC AIRWAYS,HK,1778.5036808386792,0.0010821849174146648,1.9246698589700835
2024,1,HK0006000050,POWER ASSETS HOLDINGS,HK,37866.39227673032,0.0020443540092049033,77.41231086505923
2024,2,BMG2178K1009,CKI HOLDINGS,HK,8553.871280226222,0.0024535880720184416,20.987676542744175
2024,3,HK0836012952,CHINA RESOURCES POWER,HK,11078.606685204179,0.0015588043573260594,17.269380373997883
2024,4,HK0002007356,CLP HOLDINGS,HK,3413.9907142682205,0.0033658300247987345,11.490912450468054
2024,5,HK2380027329,CHIN.PWR.INTDVT.,HK,7974.041232946708,0.0007432640308845838,5.926818029239847
2024,6,AU0000224040,WOODSIDE ENERGY GROUP,AU,718.2232936722069,0.006507927260143259,4.674144951759232
2024,7,JP3381000003,NIPPON STEEL,JP,1096.6442121826688,0.0036866225167511506,4.042913245497453
2024,8,AU000000BHP4,BHP GROUP,AU,150.87613865715858,0.025489314393327484,3.8457293326835855
2024,9,SG1V61937297,SINGAPORE AIRLINES,SG,1091.8199251781807,0.0024581442265895048,2.68385084555213
2024,10,JP3551200003,ELEC.POWER DEV.,JP,4697.1581611139,0.0005220863821695519,2.452322310814141
