date,mv,mv_50
2014-01-31,-0.026240064447587044,-0.030798523011078955
2014-02-28,0.047419154306337974,0.04512883234790505
2014-03-31,0.014885321784023714,0.016838178395640946
2014-04-30,0.01227366472133893,0.012434649747309153
2014-05-30,0.04247831550010124,0.04831798349644132
2014-06-30,0.03534551880585303,0.03373836312674028
2014-07-31,0.007860953859277946,0.007171051607543845
2014-08-29,0.0031877006375620543,0.0044873192708532305
2014-09-30,-0.03578995274293401,-0.0340706222216122
2014-10-31,0.03482217049022465,0.031808799251062544
2014-11-28,-0.029382512899505192,-0.03376110109911612
2014-12-31,-0.003205340919534937,-0.0034266470299024144
2015-01-30,0.09689793242540252,0.09935106177420389
2015-02-27,0.016444386244917022,0.018034840932981765
2015-03-31,0.0012124668339903856,0.005033742671416791
2015-04-30,0.05853808843556864,0.058232518131672704
2015-05-29,0.01527421980190978,0.018024899585884997
2015-06-30,0.019502871526721262,0.021785821964597434
2015-07-31,0.03661355045546286,0.03243688416783076
2015-08-31,-0.026538694638261702,-0.023250129759275644
2015-09-30,0.0036872358752859887,0.004367401706298244
2015-10-30,0.08281339558758363,0.08743055562507245
2015-11-30,-0.036929452052673006,-0.031112449036873397
2015-12-31,0.08157265935728777,0.08595770212832067
2016-01-29,-0.025743012104011913,-0.027454288048977496
2016-02-29,0.023447529919027182,0.02164369115325992
2016-03-31,0.03684372610018514,0.036175348806343016
2016-04-29,0.029084618524458254,0.02360264513368368
2016-05-31,-0.0052710760751113386,-0.009016624617250266
2016-06-30,0.031904847780178595,0.015655834753237795
2016-07-29,0.04121794971306392,0.04397288437718001
2016-08-31,-0.028979977729988574,-0.03086754555851738
2016-09-30,0.026741185596934874,0.03004082021648022
2016-10-31,-0.0055993402743541925,-0.008536573391134478
2016-11-30,-0.050910993655448857,-0.04964614480663212
2016-12-30,-0.003489107296452834,0.0008808478596407359
2017-01-31,0.048193385006869593,0.04425424997780218
2017-02-28,0.00612688430330998,-0.0014323216787898293
2017-03-31,0.014858540710117048,0.0042591931925891
2017-04-28,0.00485010750738651,0.007071489980550531
2017-05-31,0.04686400735768616,0.050762281739624174
2017-06-30,0.001408256521712399,0.0037597068906511668
2017-07-31,0.020919066302691247,0.028681766534443265
2017-08-31,-0.008695035895193068,-0.012555085952093597
2017-09-29,-0.014143312229177283,-0.013717517638595064
2017-10-31,0.020050372329131327,0.017155323647387092
2017-11-30,0.030270207166020538,0.033551064244903485
2017-12-29,-0.015726777302516728,-0.02111868612988655
2018-01-31,0.03087980559679377,0.0365251025163746
2018-02-28,-0.015540449009723359,-0.01788278613287714
2018-03-30,-0.00253297995682062,-0.0038131358489109602
2018-04-30,0.0024768126666841837,-0.0034273920695893903
2018-05-31,-0.00460666222366489,-0.008377374113287026
2018-06-29,-0.014130165706933769,-0.01824587551613001
2018-07-31,0.004592111531804313,-0.005227859938101968
2018-08-31,-0.002704274295299114,-0.005869245925235797
2018-09-28,0.016882138435824316,0.01983819974487436
2018-10-31,-0.05200302317450832,-0.056384908167484954
2018-11-30,-0.004610901023269427,-0.0069699857673917774
2018-12-31,-0.01453254595329672,-0.02140617596098708
2019-01-31,0.05112564856020832,0.05584236552561104
2019-02-28,-0.008032463558181364,-0.00742472293494685
2019-03-29,0.012617189632335386,0.017102506129601576
2019-04-30,-0.0014961256877274204,-0.00174539707374458
2019-05-31,-0.02421670433380005,-0.02036483367449318
2019-06-28,0.03304873106669799,0.03468997684071151
2019-07-31,-0.020045098217947463,-0.01982769669172605
2019-08-30,-0.022154518501531637,-0.018663573807428835
2019-09-30,0.03166158477152938,0.0338558781011401
2019-10-31,0.04320918855206373,0.04671718287859593
2019-11-29,0.0098275799702658,0.013797179821882107
2019-12-31,0.01678572942294857,0.015498114479259445
2020-01-31,-0.011735250064665255,-0.006860207252139423
2020-02-28,-0.07911041406697493,-0.08434941649840448
2020-03-31,-0.10089188653681191,-0.09845122645009027
2020-04-30,0.03293683218793091,0.018598340859880887
2020-05-29,0.0370760806722933,0.05308475473437471
2020-06-30,-0.01679198282408394,-0.021256730018986487
2020-07-31,-0.03972886164025981,-0.04705685962796227
2020-08-31,0.056545665472647805,0.06704232478860951
2020-09-30,-0.008681972787486393,-0.005104051002654708
2020-10-30,-0.014748980663217913,-0.010781794416480757
2020-11-30,0.06388034654966024,0.07334122009503546
2020-12-31,0.033793011328561585,0.037718164602070385
2021-01-29,0.026919610285113468,0.024175977336662456
2021-02-26,-0.031218198897887618,-0.03274604362969535
2021-03-31,0.054115081357547196,0.05342822610580278
2021-04-30,-0.0037482203789484135,-0.004603877258837137
2021-05-31,-0.00018089261760186916,0.004175390602635717
2021-06-30,-0.0017361281915249886,2.4349669106742133e-05
2021-07-30,-0.0018219833509174259,-0.006802348183072744
2021-08-31,0.031286184187573576,0.03789446931025253
2021-09-30,0.007695794625706212,0.010180990653151997
2021-10-29,-0.021090745529799025,-0.027232528333646658
2021-11-30,-0.010353938738538949,-0.009728784586873788
2021-12-31,0.016848557148395754,0.012141626091897296
2022-01-31,-0.03782104450030388,-0.04088682822605483
2022-02-28,0.008854108553586003,0.004738214238160752
2022-03-31,-0.02369071953743295,-0.023416919178341038
2022-04-29,-0.03305635316628931,-0.03982947836577313
2022-05-31,0.035915162750026534,0.03915367105936214
2022-06-30,-0.05659102543374573,-0.045656524910816614
2022-07-29,0.03314673553357997,0.03410235538998298
2022-08-31,-0.0158098728960814,-0.021539726945553936
2022-09-30,-0.057608388786290474,-0.0539775681417574
2022-10-31,-0.014214592223107503,-0.016561904019918732
2022-11-30,0.09123465365356417,0.09510572009153154
2022-12-30,0.0018214667245649956,0.008430317080641292
2023-01-31,0.03878171343759541,0.04172653601677777
2023-02-28,-0.042497157998381066,-0.04229415787101501
2023-03-31,0.048319342586186476,0.044665147879064344
2023-04-28,0.03512854866194918,0.03486334145204413
2023-05-31,-0.007212950696125805,-0.0102743931590362
2023-06-30,0.021108788081374015,0.021197389597997884
2023-07-31,0.035430117873659836,0.03373609473718776
2023-08-31,0.022212775451539758,0.022900598303431205
2023-09-29,-0.011142432093143775,-0.010917368132456093
2023-10-31,-0.027075043078414664,-0.03418706356470734
2023-11-30,-0.1269291126653486,-0.15974264194547277
2023-12-29,0.06468930858297432,0.07268848159544268
2024-01-31,0.004220279995711878,0.003909109972914405
2024-02-29,0.003289772159118508,0.0034537862513625587
2024-03-29,0.03215161354548711,0.0329360588967505
2024-04-30,-0.006710512512908595,-0.008123822545032425
2024-05-31,-0.00199171278290048,-0.014902077119547864
2024-06-28,-0.04249065468135925,-0.047379912677048094
2024-07-31,0.06908404346613095,0.05918892844691065
2024-08-30,0.019933728335802783,0.021355405170529685
2024-09-30,0.00932466428118377,0.015238160517069659
2024-10-31,-0.035722215155357354,-0.03637016871262966
2024-11-29,0.048784211597239474,0.05245634515387239
2024-12-31,-0.01908757105069613,-0.01807205364646509
2025-01-31,0.002681182116429249,0.008734675449410192
2025-02-28,0.025871583546078696,0.027987441299843954
2025-03-31,0.027356212212080414,0.028688526921062336
2025-04-30,0.04115547715615532,0.04585974103729115
