year,implementation_year,portfolio,n_assets,waci_tco2e_per_musd_revenue,carbon_footprint_tco2e_per_musd_invested,carbon_limit,optimization_success,optimization_message
2013,2014,vw_drift,233,175.40612185545288,158.93587593253304,158.93587593253304,True,benchmark (drift)
2013,2014,mv,233,1252.977961367154,213.08597115517773,,True,Optimization terminated successfully
2013,2014,mv_50,233,1065.834193466687,106.54298557758888,106.54298557758887,True,Optimization terminated successfully
2013,2014,vw_50,233,55.49186321484033,79.46793796626653,79.46793796626652,True,Optimization terminated successfully
2013,2014,vw_nz,233,106.63543187257687,141.34645646548017,143.04228833927974,True,Optimization terminated successfully
2014,2015,vw_drift,246,155.56493277646152,144.24716740836362,144.24716740836362,True,benchmark (drift)
2014,2015,mv,246,874.829868113598,509.4634232629538,,True,Optimization terminated successfully
2014,2015,mv_50,246,827.2479017376963,254.73171163147694,254.7317116314769,True,Optimization terminated successfully
2014,2015,vw_50,246,130.7769543836621,71.60700473987342,72.12358370418181,True,Optimization terminated successfully
2014,2015,vw_nz,246,104.31675515284161,107.62052861827934,128.73805950535177,True,Optimization terminated successfully
2015,2016,vw_drift,268,337.0090679576652,188.24456765503183,188.24456765503183,True,benchmark (drift)
2015,2016,mv,268,2042.4185706232236,442.33265296197374,,True,Optimization terminated successfully
2015,2016,mv_50,268,3419.3121727154225,221.16632648098692,221.16632648098687,True,Optimization terminated successfully
2015,2016,vw_50,268,543.7730131945457,94.12228382751593,94.12228382751591,True,Optimization terminated successfully
2015,2016,vw_nz,268,432.1403789619125,115.86425355481659,115.8642535548166,True,Optimization terminated successfully
2016,2017,vw_drift,294,441.50014483148516,240.36609664213782,240.36609664213782,True,benchmark (drift)
2016,2017,mv,294,3953.771092634339,508.5365432166689,,True,Optimization terminated successfully
2016,2017,mv_50,294,5621.620196550895,254.2682716083345,254.26827160833446,True,Optimization terminated successfully
2016,2017,vw_50,294,603.6428888499773,120.18304832106892,120.18304832106891,True,Optimization terminated successfully
2016,2017,vw_nz,294,502.1240269384069,104.27782819933492,104.27782819933493,True,Optimization terminated successfully
2017,2018,vw_drift,324,517.7790713154152,211.39823118923746,211.39823118923746,True,benchmark (drift)
2017,2018,mv,324,1133.9443841711745,499.69672175903787,,True,Optimization terminated successfully
2017,2018,mv_50,324,1081.3960928135764,249.848360879519,249.84836087951894,True,Optimization terminated successfully
2017,2018,vw_50,324,644.8547117936099,105.69911559461877,105.69911559461873,True,Optimization terminated successfully
2017,2018,vw_nz,324,648.5950017145799,93.85004537940144,93.85004537940145,True,Optimization terminated successfully
2018,2019,vw_drift,353,398.38128884213876,178.49309145504967,178.49309145504967,True,benchmark (drift)
2018,2019,mv,353,220.08675047810826,155.4940191252551,,True,Optimization terminated successfully
2018,2019,mv_50,353,52.0771079278684,77.74700956262757,77.74700956262755,True,Optimization terminated successfully
2018,2019,vw_50,353,768.9033798586673,69.8822866205114,89.24654572752483,True,Optimization terminated successfully
2018,2019,vw_nz,353,788.7935712865414,70.54918634955597,84.4650408414613,True,Optimization terminated successfully
2019,2020,vw_drift,392,300.91650474033236,190.98128159299338,190.98128159299338,True,benchmark (drift)
2019,2020,mv,392,549.5618071515557,316.4180108031185,,True,Optimization terminated successfully
2019,2020,mv_50,392,240.90740615623153,158.20900540155924,158.20900540155924,True,Optimization terminated successfully
2019,2020,vw_50,392,228.2090253926089,88.45625177246812,95.49064079649669,True,Optimization terminated successfully
2019,2020,vw_nz,392,214.2658860636722,76.01853675731518,76.01853675731518,True,Optimization terminated successfully
2020,2021,vw_drift,422,243.44492581086726,155.68820054808637,155.68820054808637,True,benchmark (drift)
2020,2021,mv,422,719.5162296592853,471.87753147101444,,True,Optimization terminated successfully
2020,2021,mv_50,422,446.5296728319223,235.93876573550725,235.93876573550722,True,Optimization terminated successfully
2020,2021,vw_50,422,301.2938147341383,77.84410027404317,77.84410027404319,True,Optimization terminated successfully
2020,2021,vw_nz,422,309.204419416665,68.41668308158364,68.41668308158366,True,Optimization terminated successfully
2021,2022,vw_drift,454,201.91236146166443,151.91725719111432,151.91725719111432,True,benchmark (drift)
2021,2022,mv,454,984.0321479213544,657.9427209774685,,True,Optimization terminated successfully
2021,2022,mv_50,454,636.011686650072,328.97136048873404,328.97136048873426,True,Optimization terminated successfully
2021,2022,vw_50,454,381.22401252406445,75.8492604393152,75.95862859555716,True,Optimization terminated successfully
2021,2022,vw_nz,454,331.44118254963024,61.57501477342528,61.575014773425295,True,Optimization terminated successfully
2022,2023,vw_drift,467,228.47262035079538,153.05604454993136,153.05604454993136,True,benchmark (drift)
