portfolio,annualized_return,annualized_volatility,annualized_rf,return_to_volatility,excess_sharpe_ratio,tracking_error_vs_vw,minimum_monthly_return,maximum_monthly_return,cumulative_return,terminal_growth
vw,0.07351273643222117,0.12888657963583328,0.017475,0.570367656895932,0.4347833311315637,,-0.11017256201130869,0.1316749891287063,1.1818656971830652,2.1818656971830652
vw_50,0.07358095603205514,0.13454542987105886,0.017475,0.5468855843158046,0.41700380373992707,0.029184891579695706,-0.11580531544050474,0.11202699412108746,1.1634598450766043,2.1634598450766043
vw_nz,0.07503584685134705,0.13494544235910094,0.017475,0.5560458029525034,0.4265490248879458,0.02866207852824911,-0.11874087036331474,0.1161040856757519,1.2000087473145697,2.2000087473145697
