year,portfolio,kind,ISIN,weight_vw,weight_p
2013,mv,excluded_vs_vw,AU000000BHP4,0.04195926243362905,0.0
2013,mv,excluded_vs_vw,AU000000CBA7,0.036064344799367126,0.0
2013,mv,excluded_vs_vw,AU000000WBC1,0.03026188728943217,0.0
2013,mv,excluded_vs_vw,AU000000ANZ3,0.025275901375399177,0.0
2013,mv,excluded_vs_vw,JP3854600008,0.022776291109233873,0.0
2013,mv,excluded_vs_vw,AU000000NAB4,0.022595356153649285,0.0
2013,mv,excluded_vs_vw,JP3726800000,0.021183853468850437,0.0
2013,mv,excluded_vs_vw,AU000000TLS2,0.01993455850628539,0.0
2013,mv,excluded_vs_vw,JP3890350006,0.018488013069959106,0.0
2013,mv,excluded_vs_vw,JP3242800005,0.015839923306397368,0.0
2013,mv,overweight_vs_vw,HK0006000050,0.00610653238960975,0.17345185225458734
2013,mv,overweight_vs_vw,JP3982100004,0.002425403645422771,0.13819618594967234
2013,mv,overweight_vs_vw,HK0002007356,0.007115381336991154,0.13150228136396847
2013,mv,overweight_vs_vw,JP3414750004,0.000702624063382419,0.08646436175744272
2013,mv,overweight_vs_vw,JP3977400005,0.001274187308469482,0.055784681739185535
2013,mv,overweight_vs_vw,JP3260800002,0.0023198314762342465,0.04746057435704288
2013,mv,overweight_vs_vw,JP3500610005,0.003715495685418364,0.04067591685948506
2013,mv,overweight_vs_vw,JP3429800000,0.002264176510677349,0.036763426215434734
2013,mv,overweight_vs_vw,JP3371200001,0.008594130459042355,0.040791176921834246
2013,mv,overweight_vs_vw,JP3734800000,0.002708939192570613,0.0338085503674915
2013,mv_50,excluded_vs_vw,AU000000BHP4,0.04195926243362905,0.0
2013,mv_50,excluded_vs_vw,AU000000CBA7,0.036064344799367126,0.0
2013,mv_50,excluded_vs_vw,AU000000WBC1,0.03026188728943217,0.0
2013,mv_50,excluded_vs_vw,AU000000ANZ3,0.025275901375399177,0.0
2013,mv_50,excluded_vs_vw,JP3854600008,0.022776291109233873,0.0
2013,mv_50,excluded_vs_vw,AU000000NAB4,0.022595356153649285,0.0
2013,mv_50,excluded_vs_vw,JP3726800000,0.021183853468850437,0.0
2013,mv_50,excluded_vs_vw,AU000000TLS2,0.01993455850628539,0.0
2013,mv_50,excluded_vs_vw,JP3890350006,0.018488013069959106,0.0
2013,mv_50,excluded_vs_vw,JP3242800005,0.015839923306397368,0.0
2013,mv_50,overweight_vs_vw,HK0006000050,0.00610653238960975,0.18643002828766683
2013,mv_50,overweight_vs_vw,JP3982100004,0.002425403645422771,0.15172335688075014
2013,mv_50,overweight_vs_vw,JP3414750004,0.000702624063382419,0.09263585391019791
2013,mv_50,overweight_vs_vw,HK0002007356,0.007115381336991154,0.08742945799210268
2013,mv_50,overweight_vs_vw,JP3977400005,0.001274187308469482,0.06310033781581807
2013,mv_50,overweight_vs_vw,JP3260800002,0.0023198314762342465,0.054291044937751075
2013,mv_50,overweight_vs_vw,JP3500610005,0.003715495685418364,0.04448628258770493
2013,mv_50,overweight_vs_vw,JP3734800000,0.002708939192570613,0.03282979239525857
