year,implementation_year,portfolio,n_assets,waci_tco2e_per_musd_revenue,carbon_footprint_tco2e_per_musd_invested,attributed_emissions_tco2e_starting_wealth,carbon_limit,optimization_success,optimization_message
2013,2014,vw_drift,259,190.81634078614445,227.09559940891506,227.09559940891506,227.09559940891506,True,"benchmark (end-of-year cap weights, drift)"
2013,2014,mv,259,1685.3087372416394,592.0842893295168,592.0842893295168,,True,Optimization terminated successfully
2013,2014,mv_50,259,1519.6962919255025,296.0421446647584,296.0421446647584,296.0421446647584,True,Optimization terminated successfully
2013,2014,vw_50,259,118.03357486474854,113.54779970445753,113.54779970445753,113.54779970445753,True,Optimization terminated successfully
2013,2014,vw_nz,259,134.65701890461054,199.28750416344818,199.28750416344818,204.38603946802357,True,Optimization terminated successfully
2014,2015,vw_drift,269,174.99788471270875,208.08704951007485,208.08704951007485,208.08704951007485,True,"benchmark (end-of-year cap weights, drift)"
2014,2015,mv,269,1512.362566819083,723.6470906938481,723.6470906938481,,True,Optimization terminated successfully
2014,2015,mv_50,269,1345.5452374556894,361.82354534692405,361.82354534692405,361.82354534692405,True,Optimization terminated successfully
2014,2015,vw_50,269,98.09833292684917,104.04352475503744,104.04352475503744,104.04352475503742,True,Optimization terminated successfully
2014,2015,vw_nz,269,115.1503275100235,163.25837974734796,163.25837974734796,183.94743552122122,True,Optimization terminated successfully
2015,2016,vw_drift,290,345.5422590028087,217.0966058603796,217.0966058603796,217.0966058603796,True,"benchmark (end-of-year cap weights, drift)"
2015,2016,mv,290,3034.486882063092,549.8158148518257,549.8158148518257,,True,Optimization terminated successfully
2015,2016,mv_50,290,3994.488046553698,274.90790742591287,274.90790742591287,274.90790742591287,True,Optimization terminated successfully
2015,2016,vw_50,290,148.4803640389799,108.54830293018982,108.54830293018982,108.5483029301898,True,Optimization terminated successfully
2015,2016,vw_nz,290,137.70984122102698,158.29124692509163,158.29124692509163,165.5526919690991,True,Optimization terminated successfully
2016,2017,vw_drift,314,443.4581448433128,265.1164462957488,265.1164462957488,265.1164462957488,True,"benchmark (end-of-year cap weights, drift)"
2016,2017,mv,314,3863.943289846933,541.5988929552605,541.5988929552605,,True,Optimization terminated successfully
2016,2017,mv_50,314,5618.345293816497,270.79944647763017,270.79944647763017,270.7994464776302,True,Optimization terminated successfully
2016,2017,vw_50,314,216.66762736275683,132.5582231478744,132.5582231478744,132.5582231478744,True,Optimization terminated successfully
2016,2017,vw_nz,314,293.62279928999453,148.9609841774046,148.9609841774046,148.99742277218917,True,Optimization terminated successfully
2017,2018,vw_drift,341,517.2876877265007,232.77169483685017,232.77169483685017,232.77169483685017,True,"benchmark (end-of-year cap weights, drift)"
2017,2018,mv,341,1294.909505378214,553.8221688921514,553.8221688921514,,True,Optimization terminated successfully
2017,2018,mv_50,341,925.5277820007045,276.91108444607573,276.91108444607573,276.9110844460757,True,Optimization terminated successfully
2017,2018,vw_50,341,529.6298042583494,116.38584741842513,116.38584741842513,116.38584741842509,True,Optimization terminated successfully
2017,2018,vw_nz,341,403.4267404047812,134.09768049497023,134.09768049497023,134.09768049497026,True,Optimization terminated successfully
2018,2019,vw_drift,365,395.54077286096106,181.3526352040792,181.3526352040792,181.3526352040792,True,"benchmark (end-of-year cap weights, drift)"
2018,2019,mv,365,1469.5538630793942,872.1671282459276,872.1671282459276,,True,Optimization terminated successfully
2018,2019,mv_50,365,1108.1189991521187,436.0835641229638,436.0835641229638,436.0835641229638,True,Optimization terminated successfully
