date,vw_drift,mv,mv_50,vw_50,vw_nz,vw
2014-01-31,-0.0394220039900991,-0.019196922283949217,-0.01988618895223142,-0.03473829994054839,-0.04051248217567929,-0.0435127722073147
2014-02-28,0.029303702950619848,0.045141970844100196,0.04537553233457611,0.03263779495518382,0.029818456322861724,0.01923710417884276
2014-03-31,0.006104922174860585,0.010562919934039386,0.01647142122217608,0.006543043733855794,0.006777544469341937,0.002667060585014067
2014-04-30,-0.003049015588896582,-0.020373983490640592,-0.02640029681907615,-0.004739157791188566,0.00195450454566792,-0.006863162070882226
2014-05-30,0.027864325582465016,0.051803624840315275,0.05390316102228594,0.0332666596197623,0.033102077631479335,0.030302266320730617
2014-06-30,0.029830632924989775,0.050659667083171524,0.052193757636256985,0.0296033876107703,0.027944509469897346,0.03215080530918248
2014-07-31,0.0185058015010083,0.017531307376539722,0.016892128081084933,0.01943775067863505,0.018569928528777067,0.021840218387285195
2014-08-29,-0.007785891859623384,0.015191662146868127,0.014486585585048993,0.0023372961177685926,-0.004651782886161341,-0.011839640947987775
2014-09-30,-0.04314965019215711,-0.02004364314424063,-0.018938450404834165,-0.048282156152146385,-0.050444320151184635,-0.03641353896613268
2014-10-31,0.007938793813291127,0.011500868848399435,0.006987177758362346,0.006205623245207508,0.0054595377600041226,0.008397355326879094
2014-11-28,-0.015166973140828696,-0.0003111270643676115,-0.0026376480668711816,-0.01839484155742711,-0.01837339338967562,-0.00935263680735788
2014-12-31,-0.012747401325813281,-0.020781025331704766,-0.021112978170519756,-0.005754457904383305,-0.0066963858616878435,-0.013952640197414906
2015-01-30,0.012127624508042866,0.05900318718627813,0.06121906159042865,0.010387578386783797,0.0104480954466011,0.01878321379778549
2015-02-27,0.052592806648265954,0.009610603508301268,0.007200830755523186,0.04747850323792564,0.05433454416388372,0.04818526601732748
2015-03-31,0.00011917220796760566,0.005250657736676699,0.009081224523370748,0.00078947054002175,0.0001769508429770015,0.008499669978513223
2015-04-30,0.0397082046696024,0.04096767245493846,0.04231143528507639,0.05218231401632141,0.053150771253609064,0.04339153971251602
2015-05-29,-0.0020023065813494106,0.010417710725297073,0.00825508187810002,0.012519400202292731,0.006759181129182579,-0.00048766076898099434
2015-06-30,-0.029267064906693507,0.001818963459649975,0.0020853740488361383,-0.023913953651498548,-0.023859111160600677,-0.0244906221800913
2015-07-31,-0.0003726191557881205,0.016922888390658974,0.01626235124421268,-0.005387655361484976,-0.004002635910706756,-0.00576394073078076
2015-08-31,-0.08032183345263846,-0.04699990704352485,-0.04698336070929286,-0.08180565756498633,-0.0766079056724388,-0.07545156150749388
2015-09-30,-0.05621436010705669,0.07555000901384035,0.07483512405570508,-0.03672790244219448,-0.04339265528744732,-0.05303131617415789
2015-10-30,0.08930512481811981,0.09077920455474482,0.0959068568756861,0.10283913062985314,0.09976438721171213,0.08861270730382027
2015-11-30,-0.010304190267397642,-0.055499600191580824,-0.04780048635100036,-0.017262293066197323,-0.01643140623134052,-0.010329047446440847
2015-12-31,0.010581217678947003,0.08048664651829619,0.08174496781031716,0.022475219064622527,0.017600620069777778,0.00995863526575407
2016-01-29,-0.08578106044214576,-0.040226070537091124,-0.04389978100424262,-0.08087434936390414,-0.08050242469614205,-0.08064196513267868
2016-02-29,-0.026250276553694125,0.015979011716323183,0.014537501605180041,-0.013708923008818845,-0.015600452709093276,-0.013551074912702174
2016-03-31,0.07825435590412622,0.04935837000067865,0.0499322958694214,0.07560086991075035,0.0782347355674248,0.06865785126476041
2016-04-29,0.0342327474667516,0.018772528457264667,0.01344075906940143,0.03407912185874368,0.036481868111884606,0.03163972673896205
2016-05-31,-0.017092702179979647,0.002782347498552234,-2.2552770502150266e-05,-0.014013730997601751,-0.015540559987068459,-0.01395523332003342
2016-06-30,-0.01399424515219026,0.016031151478294748,0.0030113077922746204,-0.013249689529969548,-0.011452084577824921,-0.010704338215011143
2016-07-29,0.07484451556459469,0.053872970126685286,0.057196554165087676,0.07547666511717269,0.07492794982820794,0.061257622995472064
2016-08-31,0.004893425030006086,-0.023863759931391434,-0.025296900563641176,-0.0021592076965101367,0.0014640277287007982,0.0008252666820156799
2016-09-30,0.01855822691093376,0.025596568005388166,0.029367298855095425,0.021194928144564307,0.023109385448105875,0.018147197670931974
2016-10-31,0.008280577462500282,-0.0014835447742583526,-0.00715256229941905,0.003546138597998091,0.0029274803371370636,0.002186694308238245
2016-11-30,-0.01378672112080085,-0.037590206293078625,-0.03421340355039421,-0.017643234125811095,-0.021284659031611856,-0.01938349476549439
2016-12-30,0.00522175040820648,-0.014173985560368496,-0.011299115251553603,0.011989033118893516,0.011993776903861615,0.00418390562482898
2017-01-31,0.03765310918622062,0.049045735773223326,0.04851424690220128,0.0318372412074584,0.031051171268360392,0.044008808681718345
2017-02-28,0.021366242915934187,0.007978450947370147,-0.0006344257138307379,0.02200585398768587,0.01974144550149399,0.02021223374765484
2017-03-31,0.005926014451563223,0.01868172227419406,0.01122719642717455,0.003997553112779234,0.005011834014611255,0.007494005023622635
2017-04-28,0.004710779536110105,0.0039002005492644945,0.005746983816796329,0.00853502482993899,0.007773578964100166,0.006950162811556661
2017-05-31,0.016680095589189183,0.04433681067010323,0.050209270683987124,0.014906461919241701,0.014656462470580528,0.021554390327776528
2017-06-30,0.011638074685157127,0.0021838646366049404,0.0022606959417796452,0.013758766861679777,0.013044440633063061,0.01178570751475719
2017-07-31,0.030417333473736423,0.01684007174898763,0.026365580631199155,0.02650513710513737,0.02745619902574597,0.029101810893940608
2017-08-31,-0.00014363436977774154,-0.00923107078444664,-0.011611248160426198,0.0014330939450294443,0.002212437349214272,0.0009691910932250903
2017-09-29,0.008768201870580814,-0.01108353940884554,-0.01084226461157581,0.00886239081651656,0.008433915235464091,0.009006922539495404
2017-10-31,0.03215832884112317,0.019630825584752418,0.021126456300379286,0.03377513418447052,0.03465390108086658,0.03591515536865918
2017-11-30,0.02103719292477218,0.027510108092755427,0.03642234612432366,0.02133672708927893,0.023752717890251223,0.024265244978447877
2017-12-29,0.013358750032982446,-0.00940897503110376,-0.014055861305955776,0.016018900630458008,0.017545457677945367,0.011116717346631944
2018-01-31,0.044689740402233766,0.03232231773219265,0.034176693164483046,0.040537462292314766,0.04144685752270999,0.04749331140662422
2018-02-28,-0.026958764709239018,-0.013272961637095735,-0.015357961966332085,-0.03182136592591153,-0.032454675163386,-0.02305592766770853
2018-03-30,-0.02786737762222067,-0.0011571136229475473,-0.004118214861892911,-0.02452731682907846,-0.02534567688352342,-0.02544824223105958
2018-04-30,0.013282973083662122,0.0008678068485203443,-0.005488976782125856,0.013951155105927433,0.013157553660197628,0.011847365533356233
2018-05-31,-0.010600937121450786,-0.0011537969145456852,-0.006178567659346747,-0.006201081994331744,-0.005141854300348106,-0.008392158080193014
2018-06-29,-0.016011330761180758,-0.012110301287921302,-0.014121781081584538,-0.018429988931855896,-0.018637533214011265,-0.022654471138383037
2018-07-31,0.01515463716866131,0.004745501145383425,-0.0001678070418825485,0.016347569652412207,0.016558653186749633,0.01074350619689626
2018-08-31,-0.009790008349675335,-0.00136243224474588,-0.0031103431440076632,-0.010505262164577782,-0.012433183302791131,-0.006412787347662502
2018-09-28,0.017797685879312304,0.0179073728440485,0.01874966394007914,0.01752413526103322,0.01896266148800009,0.01910154098447456
2018-10-31,-0.07802767735623709,-0.05454535173503197,-0.0584978758872055,-0.078751835888555,-0.07712599344666347,-0.08410320768199933
2018-11-30,0.010569853588665436,-0.0020707251011158768,-0.0005126829691878328,0.0152413557177771,0.01544229792869106,0.015171950406803747
2018-12-31,-0.04610366217533339,-0.014566148014034629,-0.016410575221196873,-0.05003825371120479,-0.048871684583550117,-0.0506157077243855
2019-01-31,0.06829797371382237,0.03610193916570092,0.042523146893444594,0.06848882917913746,0.06817627344543259,0.060708130236506494
2019-02-28,0.011811046202262452,-0.0043909105928477375,-0.007457393930652871,0.009559868906508187,0.007859404866473844,0.011952649320448797
2019-03-29,0.00740801375297378,-0.01904619322111784,-0.017997812687769607,0.0026551624583768876,0.0018645782579673267,0.010925846534202926
2019-04-30,0.017623078473504597,-0.02796002137287911,-0.02816991111251846,0.015007494478355626,0.013749502391038209,0.014664674766271188
2019-05-31,-0.04229399357733134,-0.02751728760027551,-0.0269251986430424,-0.047055748128272394,-0.04622005674157442,-0.039074686956954395
2019-06-28,0.04664897280966841,0.012435206459045042,0.01900132622940729,0.04002415640062415,0.03708208830479992,0.043944832909084144
2019-07-31,-0.0017797072795280979,-0.002461604287086355,-0.004246010079090646,-0.0023829041802612685,-0.003460514721730398,-0.002964148500095511
2019-08-30,-0.03236472622368218,-0.02794618065776462,-0.02857829540222892,-0.024392804379526137,-0.025357526823076612,-0.02647841303720931
2019-09-30,0.03488171096249849,0.02846865367788149,0.030727879125057807,0.03313034049460552,0.03561633234382676,0.02969831839530101
2019-10-31,0.04285639039997326,0.022020146467368787,0.024819802512517794,0.04855688400913838,0.049251960117267304,0.04160799958834435
2019-11-29,0.00080911220570335,0.0001843337984202536,0.0035345747720041624,-0.0016292690773114992,-0.0008512276152085213,0.0016866094024951491
2019-12-31,0.027253521872685857,0.02680586933588825,0.024052460397500412,0.025998744123199396,0.026920546585248797,0.024643256686344314
2020-01-31,-0.020678658361378135,-0.012765728667285819,-0.007627949490331912,-0.026688243106422475,-0.027776733449531743,-0.017955842627167873
2020-02-28,-0.08271152973336836,-0.08075251300642122,-0.08135847041817262,-0.0840425502140883,-0.08508979736314562,-0.08273695855552066
2020-03-31,-0.1195449667684293,-0.07533374358903026,-0.08056790973675076,-0.14402753513078678,-0.14290990982854446,-0.10756813403290805
2020-04-30,0.06353448202037267,0.014778172845125335,0.003393680976312167,0.09500676837885595,0.09271630186717936,0.06538730599079394
2020-05-29,0.029261218486991085,0.0171817458179698,0.028249307205786132,0.04670179122302,0.04356221548253262,0.036090180848006664
