date,vw,vw_50
2014-01-31,-0.0435127722073147,-0.03473829994054839
2014-02-28,0.01923710417884276,0.03263779495518382
2014-03-31,0.002667060585014067,0.006543043733855794
2014-04-30,-0.006863162070882226,-0.004739157791188566
2014-05-30,0.030302266320730617,0.0332666596197623
2014-06-30,0.03215080530918248,0.0296033876107703
2014-07-31,0.021840218387285195,0.01943775067863505
2014-08-29,-0.011839640947987775,0.0023372961177685926
2014-09-30,-0.03641353896613268,-0.048282156152146385
2014-10-31,0.008397355326879094,0.006205623245207508
2014-11-28,-0.00935263680735788,-0.01839484155742711
2014-12-31,-0.013952640197414906,-0.005754457904383305
2015-01-30,0.01878321379778549,0.010387578386783797
2015-02-27,0.04818526601732748,0.04747850323792564
2015-03-31,0.008499669978513223,0.00078947054002175
2015-04-30,0.04339153971251602,0.05218231401632141
2015-05-29,-0.00048766076898099434,0.012519400202292731
2015-06-30,-0.0244906221800913,-0.023913953651498548
2015-07-31,-0.00576394073078076,-0.005387655361484976
2015-08-31,-0.07545156150749388,-0.08180565756498633
2015-09-30,-0.05303131617415789,-0.03672790244219448
2015-10-30,0.08861270730382027,0.10283913062985314
2015-11-30,-0.010329047446440847,-0.017262293066197323
2015-12-31,0.00995863526575407,0.022475219064622527
2016-01-29,-0.08064196513267868,-0.08087434936390414
2016-02-29,-0.013551074912702174,-0.013708923008818845
2016-03-31,0.06865785126476041,0.07560086991075035
2016-04-29,0.03163972673896205,0.03407912185874368
2016-05-31,-0.01395523332003342,-0.014013730997601751
2016-06-30,-0.010704338215011143,-0.013249689529969548
2016-07-29,0.061257622995472064,0.07547666511717269
2016-08-31,0.0008252666820156799,-0.0021592076965101367
2016-09-30,0.018147197670931974,0.021194928144564307
2016-10-31,0.002186694308238245,0.003546138597998091
2016-11-30,-0.01938349476549439,-0.017643234125811095
2016-12-30,0.00418390562482898,0.011989033118893516
2017-01-31,0.044008808681718345,0.0318372412074584
2017-02-28,0.02021223374765484,0.02200585398768587
2017-03-31,0.007494005023622635,0.003997553112779234
2017-04-28,0.006950162811556661,0.00853502482993899
2017-05-31,0.021554390327776528,0.014906461919241701
2017-06-30,0.01178570751475719,0.013758766861679777
2017-07-31,0.029101810893940608,0.02650513710513737
2017-08-31,0.0009691910932250903,0.0014330939450294443
2017-09-29,0.009006922539495404,0.00886239081651656
2017-10-31,0.03591515536865918,0.03377513418447052
2017-11-30,0.024265244978447877,0.02133672708927893
2017-12-29,0.011116717346631944,0.016018900630458008
2018-01-31,0.04749331140662422,0.040537462292314766
2018-02-28,-0.02305592766770853,-0.03182136592591153
2018-03-30,-0.02544824223105958,-0.02452731682907846
2018-04-30,0.011847365533356233,0.013951155105927433
2018-05-31,-0.008392158080193014,-0.006201081994331744
2018-06-29,-0.022654471138383037,-0.018429988931855896
2018-07-31,0.01074350619689626,0.016347569652412207
2018-08-31,-0.006412787347662502,-0.010505262164577782
2018-09-28,0.01910154098447456,0.01752413526103322
2018-10-31,-0.08410320768199933,-0.078751835888555
2018-11-30,0.015171950406803747,0.0152413557177771
2018-12-31,-0.0506157077243855,-0.05003825371120479
2019-01-31,0.060708130236506494,0.06848882917913746
2019-02-28,0.011952649320448797,0.009559868906508187
2019-03-29,0.010925846534202926,0.0026551624583768876
2019-04-30,0.014664674766271188,0.015007494478355626
2019-05-31,-0.039074686956954395,-0.047055748128272394
2019-06-28,0.043944832909084144,0.04002415640062415
2019-07-31,-0.002964148500095511,-0.0023829041802612685
2019-08-30,-0.02647841303720931,-0.024392804379526137
2019-09-30,0.02969831839530101,0.03313034049460552
2019-10-31,0.04160799958834435,0.04855688400913838
2019-11-29,0.0016866094024951491,-0.0016292690773114992
2019-12-31,0.024643256686344314,0.025998744123199396
2020-01-31,-0.017955842627167873,-0.026688243106422475
2020-02-28,-0.08273695855552066,-0.0840425502140883
2020-03-31,-0.10756813403290805,-0.14402753513078678
2020-04-30,0.06538730599079394,0.09500676837885595
2020-05-29,0.036090180848006664,0.04670179122302
2020-06-30,0.020630057000006582,0.03838470986978702
2020-07-31,-0.007512856218365385,0.020329817025892937
2020-08-31,0.06459253734982312,0.06202953934273556
2020-09-30,-0.01168860098102131,-0.01605268820747456
2020-10-30,-0.012329619206600573,-0.00569109365943225
2020-11-30,0.13065231586517784,0.11591368595483192
2020-12-31,0.04442105359127855,0.05565147364021049
2021-01-29,-0.004834193234097343,0.009701709215506896
2021-02-26,0.023294916353885104,0.004488291027598786
2021-03-31,0.015390884931859127,0.022524320355349507
2021-04-30,-0.000764731827599144,0.02074251843602845
2021-05-31,0.020952300431233573,0.011718308626827224
2021-06-30,-0.008606336456252816,-0.01219953664275892
2021-07-30,-0.016385630144915862,-0.02600135819586769
2021-08-31,0.02354395082826304,0.006934064975318566
2021-09-30,0.010862565309122895,0.0031930776185956477
2021-10-29,-0.011143856854441931,0.007360234670751757
2021-11-30,-0.035693279404749506,-0.04372483328438867
