portfolio,annualized_return,annualized_volatility,sharpe_ratio,minimum_monthly_return,maximum_monthly_return,cumulative_return
vw,0.06723708843585485,0.12880410587923616,0.5220104435094238,-0.10756813403290805,0.13065231586517784,1.1833879660610442
vw_drift,0.06616389864668504,0.1319180646024534,0.5015529817396558,-0.1195449667684293,0.1297807268951182,1.1571864000387824
mv,0.08299191454165467,0.11575008193722285,0.7169922746721286,-0.08075251300642122,0.11035281109486914,1.6031702425822392
mv_50,0.09060464520347389,0.1170496783655462,0.7740700057330832,-0.08135847041817262,0.10626550666412854,1.831444919811302
vw_50,0.07790755051966625,0.13591498059832413,0.573207972930593,-0.14402753513078678,0.11591368595483192,1.4602439297914969
vw_nz,0.07703536138338607,0.1362566373541256,0.5653696060557711,-0.14290990982854446,0.1194992704700464,1.4364614719844395
