NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
COMPUTERSHARE,AU000000CPU5,93658,187060.0,217899.0,402936.0,410072.0,553518.0,753323.0,1024700.0,1345167.0,1612523.0,1082818.0,1863583.0,1634949.0,1642351.0,2010070.0,1851955.0,1738697.0,1829952.0,2095449.0,2302640.0,2231639.0,2255705.0,2467322.0,2238957.0,2989288.0,2850060.0,2886471.0
CHARTER HALL RETAIL REIT,AU000000CQR9,20313,25673.0,26508.0,33002.0,46591.0,78665.0,94541.0,102516.0,120227.0,183204.0,155175.0,185473.0,185731.0,212286.0,177215.0,153919.0,155294.0,144142.0,163531.0,176520.0,147111.0,137594.0,145744.0,139192.0,147280.0,139505.0,125570.0
CSL,AU000000CSL8,226144,263172.0,248655.0,559125.0,804956.0,987647.0,1880019.0,1951123.0,2301768.0,3071198.0,2532549.0,4184309.0,4285484.0,4606990.0,4782803.0,4848225.0,4936676.0,5599946.0,6867833.0,7618463.0,8100836.0,8628365.0,10868590.0,10118218.0,12112218.0,13948399.0,14350442.0
CSR DEAD - DEAD.10/07/24,AU000000CSR5,4052657,4141538.0,3542220.0,3272060.0,4031242.0,3604221.0,1593933.0,1909069.0,2398145.0,2768600.0,2200278.0,3325524.0,1941915.0,2012961.0,1793681.0,1497518.0,1466066.0,1524244.0,1835232.0,2029942.0,1945897.0,1388459.0,1620308.0,1556611.0,1754571.0,1749097.0,1626216.0
CLEANAWAY WASTE MANAGEMENT,AU000000CWY3,,,,,,,287159.0,343492.0,690641.0,1586186.0,1438264.0,1762510.0,2126047.0,2377759.0,2391782.0,1282631.0,1082132.0,1016538.0,1100034.0,1203323.0,1508484.0,1560468.0,1747104.0,1852590.0,2429445.0,2381043.0,2370654.0
DOWNER EDI,AU000000DOW2,182392,829983.0,666151.0,1152237.0,1334119.0,2199239.0,2613417.0,3166193.0,3843574.0,4888738.0,3533819.0,5078515.0,6319353.0,7354156.0,8986027.0,7058700.0,5459852.0,4864827.0,5311148.0,7727819.0,9088423.0,8698475.0,9058761.0,7966699.0,7984805.0,7488502.0,6622506.0
DEXUS STAPLED UNITS,AU000000DXS1,,,,,,,,604830.0,657236.0,314845.0,460655.0,679730.0,703232.0,767550.0,659461.0,533387.0,627041.0,678280.0,575813.0,741734.0,626908.0,616394.0,783893.0,644314.0,584360.0,564540.0,530281.0
ELDERS,AU000000ELD6,2018130,2646643.0,2754084.0,3233411.0,2670221.0,1938409.0,2237715.0,2519388.0,2550244.0,2787217.0,2066470.0,2018400.0,2083986.0,2428857.0,2244256.0,1459996.0,1119364.0,1067300.0,1261280.0,1272991.0,1170846.0,1116383.0,1585988.0,1815708.0,2447742.0,2165214.0,1939795.0
ENERGY RES.OF AUS.,AU000000ERA9,128804,110069.0,100349.0,79054.0,115900.0,148723.0,182930.0,197561.0,242324.0,321782.0,313227.0,679211.0,576413.0,699085.0,439761.0,326115.0,314183.0,245472.0,226363.0,190949.0,156482.0,148212.0,190178.0,137880.0,34468.0,22283.0,23042.0
FLIGHT CENTRE TRAVEL GP.,AU000000FLT9,963142,1166576.0,1323919.0,1638507.0,2429042.0,-898702.0,629033.0,680896.0,772971.0,1122452.0,1030239.0,1440040.0,1867123.0,1985504.0,2134860.0,1871654.0,1793390.0,1807152.0,2032573.0,2255041.0,2194821.0,2102571.0,387575.0,393099.0,1203254.0,1672934.0,1704479.0
GOODMAN GROUP,AU000000GMG2,,,,,,,,172352.0,575939.0,704158.0,287948.0,487995.0,673123.0,841846.0,831061.0,886952.0,1009489.0,1027393.0,1267480.0,1415655.0,1351430.0,1015784.0,1574076.0,1298530.0,1474860.0,1324909.0,1403015.0
GPT GROUP STAPLED UNITS,AU000000GPT8,245022,282030.0,277738.0,271178.0,339121.0,467430.0,520988.0,626756.0,760299.0,807700.0,669985.0,504084.0,569481.0,664869.0,671941.0,546250.0,506856.0,485221.0,541418.0,561085.0,546131.0,534239.0,543185.0,566455.0,577752.0,586770.0,612487.0
GWA GROUP,AU000000GWA4,290581,333583.0,360354.0,282371.0,376697.0,503006.0,499019.0,462456.0,486575.0,598023.0,403809.0,609263.0,686287.0,684379.0,600084.0,496538.0,321512.0,289259.0,340064.0,281178.0,263571.0,271408.0,295327.0,291949.0,301568.0,267744.0,258571.0
HILLS DEAD - DELIST.29/08/23,AU000000HIL8,223118,240457.0,240268.0,274106.0,368275.0,514733.0,590985.0,659943.0,752630.0,954051.0,811435.0,1020411.0,1119512.0,1169464.0,1123301.0,414417.0,351549.0,257222.0,247270.0,219924.0,194392.0,175272.0,141405.0,118941.0,-7256.0,-6658.0,-6327.0
HARVEY NORMAN HOLDINGS,AU000000HVN7,150753,207662.0,276745.0,448989.0,726770.0,822542.0,950481.0,1035517.0,955121.0,1103287.0,905261.0,1727335.0,2511118.0,2770738.0,2362558.0,790077.0,2024948.0,1957810.0,2303836.0,2397448.0,2347078.0,2247032.0,3003922.0,2964197.0,3042776.0,2635125.0,2554953.0
INSURANCE AUS.GROUP,AU000000IAG3,1470710,1729545.0,1781209.0,1743503.0,2030407.0,4997945.0,5365501.0,5300246.0,5442440.0,7652557.0,5260423.0,7345555.0,8143351.0,9230899.0,9240363.0,9221056.0,10767366.0,8988281.0,9625295.0,9077725.0,6107235.0,5894105.0,6877155.0,6451689.0,6558328.0,9604354.0,9178944.0
INSIGNIA FINANCIAL,AU000000IFL2,,,,,,46538.0,172066.0,264962.0,342472.0,352940.0,266150.0,481872.0,703547.0,641872.0,666506.0,749631.0,700772.0,707861.0,715281.0,769614.0,652214.0,769049.0,936182.0,1303445.0,1412481.0,1290620.0,1080076.0
IGO,AU000000IGO4,,,,,2.0,40232.0,60581.0,62980.0,120348.0,200896.0,86873.0,93683.0,133219.0,192362.0,243970.0,240543.0,396140.0,310995.0,319501.0,439569.0,563053.0,606769.0,664664.0,418671.0,757430.0,600003.0,425650.0
