NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,country_code
MIRVAC GROUP STAPLED UNITS,AU000000MGR9,,,,,,,6531.0,10670.0,17497.0,14571.0,15676.0,12382.0,13635.0,9987.0,7066.0,11441.0,9867.0,6179.0,4640.0,6829.0,6618.0,7457.0,6342.0,7125.0,9632.0,10711.0,,AU
MACQUARIE GROUP,AU000000MQG1,,,,,,,,,,,23.0,,0.0,0.0,0.0,,,,433.0,518.0,569.0,477.0,465.0,343.0,385.0,392.0,,AU
METCASH,AU000000MTS0,,,,,,,,,,,8304.0,10406.0,12396.0,20087.0,,,,,,24741.0,12472.0,14110.0,15055.0,14576.0,13225.0,15446.0,34712.0,AU
NATIONAL AUS.BANK,AU000000NAB4,,,,,,,,19424.0,19273.0,15337.0,16019.0,22084.0,25551.0,25460.0,20848.0,23481.0,23052.0,18373.0,19376.0,19208.0,19208.0,16579.0,10821.0,6619.0,7590.0,7313.0,,AU
NEWCREST MINING DEAD - DELIST.08/11/23,AU000000NCM7,,,,,,,,,,,731331.0,1430611.0,1483302.0,1542738.0,,,,,1288105.0,1386235.0,1377787.0,1378676.0,1368391.0,1397980.0,1386578.0,,,AU
ORIGIN ENERGY (EX BORAL),AU000000ORG5,,,,,,,,,6000000.0,5700000.0,1331747.0,1968703.0,2832948.0,12866000.0,13663000.0,14934000.0,16918000.0,16977000.0,17293000.0,18162000.0,17976000.0,16014000.0,14890000.0,12801000.0,13690000.0,15567000.0,15799000.0,AU
ORICA,AU000000ORI1,,,,,,,4719000.0,4704000.0,4700000.0,3354000.0,2588260.0,2407520.0,2035000.0,1801000.0,1900000.0,1600000.0,1800000.0,1800000.0,1798800.0,2244000.0,2092000.0,1849000.0,1628000.0,1678000.0,1446000.0,923000.0,,AU
OZ MINERALS DEAD - DELIST.03/05/23,AU000000OZL8,,,,,,,,,,576938.0,94610.0,114703.0,146422.0,156986.0,204959.0,231389.0,180290.0,142669.0,105648.0,85258.0,77271.0,85555.0,94720.0,95387.0,,,,AU
QANTAS AIRWAYS,AU000000QAN2,,,,,,,,11200000.0,11519558.0,12627695.0,12063350.0,11749346.0,12387552.0,12534020.0,12422703.0,11938500.0,11707259.0,12070474.0,12248233.0,12390319.0,12372735.0,9340721.0,3236753.0,4734407.0,9720687.0,11456418.0,,AU
QBE INSURANCE GROUP,AU000000QBE9,,,,,,,,,,520.0,1254.0,1170.0,1241.0,1160.0,10777.0,11144.0,12400.0,8686.0,7904.0,8314.0,6600.0,6565.0,6526.0,7179.0,7832.0,7746.0,,AU
RAMSAY HEALTH CARE,AU000000RHC8,,,,,,,,,,,,,,,,,,15334.0,15722.0,,,55544.0,54982.0,83371.0,81885.0,90260.0,88711.0,AU
ST BARBARA,AU000000SBM8,,,,,,,,,,,,,,89381.0,,,83000.0,131000.0,141000.0,141000.0,155000.0,175000.0,165000.0,145000.0,,,,AU
SIMS,AU000000SGM7,,,,,,,,,96481.27,136582.0,143045.0,142256.0,149941.0,117886.0,111131.0,106935.0,105213.0,82241.0,67266.0,80200.0,37400.0,76100.0,72100.0,80500.0,81500.0,79600.0,,AU
STOCKLAND STAPLED UNITS,AU000000SGP0,,,,,,,,3500.09,3323.88,3201.34,18957.0,19099.0,27459.0,26961.0,18468.0,22101.74,26368.42,35036.0,27237.0,25453.0,24230.0,21028.0,4999.0,3902.0,3041.0,1905.0,,AU
SONIC HEALTHCARE,AU000000SHL7,,,,,,,,,,,,,6646.0,8114.0,8285.0,8158.0,8326.0,8386.0,,,,7654.0,34677.0,35796.0,32503.0,,29908.0,AU
