NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
BLUESCOPE STEEL,AU000000BSL0,,,,,,,,,,,9710000.0,,13390000.0,9480000.0,8095000.0,7840000.0,7810000.0,8270000.0,8670000.0,8820000.0,8590000.0,8420000.0,8840000.0,8680000.0,8510000.0,8500000.0,
BWP GROUP STAPLED UNITS,AU000000BWP3,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
COMMONWEALTH BK.OF AUS.,AU000000CBA7,,,,,,,,,,,17038.0,15073.0,13289.0,10385.0,10959.0,10540.0,9729.0,9063.0,9694.0,8739.0,7624.0,12526.0,8768.0,6667.0,7891.0,7258.0,
CHALLENGER,AU000000CGF5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.5,4.0,2.0,0.99,40.67,34.9,2.9,
CIMIC GROUP DEAD - DELIST.11/05/22,AU000000CIM7,,,,,,,,1786040.0,,,478443.0,684758.0,730542.0,730542.0,3172000.0,153239.0,77412.0,1963000.0,2236000.0,2689000.0,2634000.0,2391000.0,115000.0,,,,
COCHLEAR,AU000000COH5,,,,,,,,,6.28,,,,,,,,,,,728.0,409.0,559.0,474.0,251.0,916.0,856.0,951.0
COMPUTERSHARE,AU000000CPU5,,,,,,,,,,,,,,,,,,,,,,2298.0,3583.0,2392.0,2640.0,3344.2,1847.0
CHARTER HALL RETAIL REIT,AU000000CQR9,,,,,,,,,,,,85.0,,,,,,,,,7820.0,263.0,294.0,325.0,384.0,141.0,184.0
CSL,AU000000CSL8,,,,,,,53948.0,53862.0,53862.0,52519.0,52519.0,51460.0,52800.0,55383.0,,,,,,,,,,104100.0,135000.0,113000.0,135000.0
CSR DEAD - DEAD.10/07/24,AU000000CSR5,,,,,,,,,,862118.0,752500.0,735858.0,394398.0,370008.0,367113.0,313461.0,351912.0,445151.0,453531.0,442072.0,306981.0,267905.0,280065.0,275488.0,272788.0,,
CLEANAWAY WASTE MANAGEMENT,AU000000CWY3,,,,,,,,,,,,,,931637.0,631497.0,559304.0,,,,712000.0,779000.0,755400.0,859500.0,1247000.0,1133000.0,1070000.0,1082000.0
