ISIN,reason
JP3143000002,no_carbon_data
JP3143600009,no_carbon_data
JP3143900003,stale_prices | no_carbon_data
JP3152740001,no_carbon_data
JP3156400008,no_carbon_data
JP3158800007,no_carbon_data
JP3160400002,no_carbon_data
JP3162600005,no_carbon_data
JP3164630000,no_carbon_data
JP3164720009,no_carbon_data
JP3166000004,no_carbon_data
JP3167500002,insufficient_history(27mo) | no_carbon_data
JP3172100004,no_carbon_data
JP3173400007,no_carbon_data
JP3174410005,no_carbon_data
JP3180400008,no_carbon_data
JP3188220002,no_carbon_data
JP3196000008,no_carbon_data
JP3198900007,no_carbon_data
JP3203500008,no_carbon_data
JP3215800008,no_carbon_data
JP3218900003,stale_prices | no_carbon_data
JP3219000001,no_carbon_data
JP3224200000,stale_prices
JP3228600007,no_carbon_data
JP3229400001,no_carbon_data
JP3236200006,no_carbon_data
JP3240400006,no_carbon_data
JP3243600008,no_carbon_data
JP3246400000,no_carbon_data
JP3249600002,no_carbon_data
JP3258000003,no_carbon_data
JP3263000006,no_carbon_data
JP3268950007,no_carbon_data
JP3270000007,no_carbon_data
JP3271400008,no_carbon_data
JP3274400005,no_carbon_data
JP3276400003,no_carbon_data
JP3277800003,no_carbon_data
JP3278600006,no_carbon_data
JP3280200001,no_carbon_data
JP3283650004,no_carbon_data
JP3292200007,no_carbon_data
JP3293200006,no_carbon_data
JP3294460005,stale_prices
JP3300200007,no_carbon_data
JP3305530002,no_carbon_data
JP3305800009,no_carbon_data
JP3305990008,insufficient_history(0mo) | no_carbon_data
JP3320800000,no_carbon_data
JP3326410002,no_carbon_data
JP3336000009,no_carbon_data
JP3336600006,no_carbon_data
JP3347200002,no_carbon_data
JP3350800003,no_carbon_data
JP3351100007,stale_prices | no_carbon_data
JP3351500008,no_carbon_data
JP3352000008,no_carbon_data
JP3352400000,no_carbon_data
JP3357200009,no_carbon_data
JP3358000002,no_carbon_data
JP3358200008,no_carbon_data
JP3381000003,no_carbon_data
JP3385980002,no_carbon_data
JP3386030005,no_carbon_data
JP3388200002,no_carbon_data
JP3389900006,no_carbon_data
JP3396350005,stale_prices | no_carbon_data
JP3397200001,no_carbon_data
JP3398000004,stale_prices | no_carbon_data
JP3399400005,no_carbon_data
JP3400900001,no_carbon_data
JP3401400001,no_carbon_data
JP3404200002,no_carbon_data
JP3404600003,no_carbon_data
JP3405400007,no_carbon_data
JP3407200009,no_carbon_data
JP3409000001,no_carbon_data
JP3411000007,no_carbon_data
JP3415400005,no_carbon_data
JP3419050004,no_carbon_data
JP3421800008,no_carbon_data
JP3425000001,no_carbon_data
JP3436100006,no_carbon_data
JP3436120004,stale_prices | no_carbon_data
JP3459600007,no_carbon_data
JP3463000004,no_carbon_data
JP3485800001,no_carbon_data
JP3486800000,stale_prices | no_carbon_data
JP3491000000,no_carbon_data
JP3493400000,no_carbon_data
JP3494600004,no_carbon_data
JP3495000006,no_carbon_data
JP3499800005,no_carbon_data
JP3500610005,stale_prices | no_carbon_data
JP3511800009,no_carbon_data
JP3519400000,no_carbon_data
JP3522200009,no_carbon_data
JP3526600006,no_carbon_data
JP3535800001,stale_prices | no_carbon_data
JP3538800008,no_carbon_data
JP3539250005,stale_prices | no_carbon_data
JP3546800008,no_carbon_data
JP3548610009,no_carbon_data
JP3549600009,no_carbon_data
JP3560800009,no_carbon_data
JP3573000001,no_carbon_data
JP3574200006,no_carbon_data
JP3579800008,no_carbon_data
JP3585800000,no_carbon_data
JP3588600001,no_carbon_data
JP3597800006,no_carbon_data
JP3598600009,no_carbon_data
JP3599000001,no_carbon_data
JP3600200004,no_carbon_data
JP3605400005,no_carbon_data
JP3613000003,no_carbon_data
JP3625000009,no_carbon_data
JP3633400001,no_carbon_data
JP3634200004,no_carbon_data
JP3635000007,no_carbon_data
JP3635400009,no_carbon_data
JP3637300009,no_carbon_data
JP3658850007,insufficient_history(0mo) | no_carbon_data
JP3659000008,no_carbon_data
JP3663900003,no_carbon_data
JP3667600005,no_carbon_data
JP3670800006,no_carbon_data
JP3675600005,no_carbon_data
JP3676800000,no_carbon_data
JP3684400009,no_carbon_data
JP3689500001,no_carbon_data
JP3695200000,stale_prices | no_carbon_data
JP3711200000,stale_prices | no_carbon_data
JP3718800000,no_carbon_data
JP3720800006,no_carbon_data
JP3721400004,no_carbon_data
JP3726200003,no_carbon_data
JP3729000004,insufficient_history(0mo) | no_carbon_data
JP3732200005,no_carbon_data
JP3733400000,no_carbon_data
JP3735400008,stale_prices
JP3738600000,no_carbon_data
JP3742600004,no_carbon_data
JP3753000003,no_carbon_data
JP3756100008,no_carbon_data
