ISIN,eligible_history_36m,eligible_not_stale_120m,eligible_carbon_scope1_or_scope2,included_final,cutoff_date
JP3039710003,True,True,False,False,2013-12-31
JP3040890000,True,True,False,False,2013-12-31
JP3102000001,True,True,False,False,2013-12-31
JP3108600002,True,True,False,False,2013-12-31
JP3111200006,True,True,False,False,2013-12-31
JP3112000009,True,True,True,True,2013-12-31
JP3116000005,True,True,False,False,2013-12-31
JP3118000003,True,True,True,True,2013-12-31
JP3119600009,True,True,True,True,2013-12-31
JP3122400009,True,True,True,True,2013-12-31
JP3122800000,True,True,False,False,2013-12-31
JP3125800007,True,True,False,False,2013-12-31
JP3126340003,True,True,False,False,2013-12-31
JP3126400005,True,True,True,True,2013-12-31
JP3131400008,True,True,False,False,2013-12-31
JP3131430005,True,True,False,False,2013-12-31
JP3134800006,True,True,True,True,2013-12-31
JP3137200006,True,True,False,False,2013-12-31
JP3143000002,True,True,False,False,2013-12-31
JP3143600009,True,True,False,False,2013-12-31
JP3143900003,True,False,False,False,2013-12-31
JP3148800000,True,True,True,True,2013-12-31
JP3152740001,True,True,False,False,2013-12-31
JP3156400008,True,True,False,False,2013-12-31
JP3158800007,True,True,False,False,2013-12-31
JP3160400002,True,True,False,False,2013-12-31
JP3162600005,True,True,False,False,2013-12-31
JP3164630000,True,True,False,False,2013-12-31
JP3164720009,True,True,False,False,2013-12-31
JP3164800009,True,True,True,True,2013-12-31
JP3165600002,True,True,True,True,2013-12-31
JP3165700000,True,True,True,True,2013-12-31
JP3166000004,True,True,False,False,2013-12-31
JP3167500002,False,True,False,False,2013-12-31
JP3172100004,True,True,False,False,2013-12-31
JP3173400007,True,True,False,False,2013-12-31
JP3174410005,True,True,False,False,2013-12-31
JP3180400008,True,True,False,False,2013-12-31
JP3188220002,True,True,False,False,2013-12-31
JP3190000004,True,True,True,True,2013-12-31
JP3194000000,True,True,True,True,2013-12-31
JP3196000008,True,True,False,False,2013-12-31
JP3197600004,True,True,True,True,2013-12-31
JP3197800000,True,True,True,True,2013-12-31
JP3198900007,True,True,False,False,2013-12-31
JP3200450009,True,True,True,True,2013-12-31
JP3201200007,True,True,True,True,2013-12-31
JP3203500008,True,True,False,False,2013-12-31
JP3205800000,True,True,True,True,2013-12-31
JP3209000003,True,True,True,True,2013-12-31
JP3210200006,True,True,True,True,2013-12-31
JP3215800008,True,True,False,False,2013-12-31
JP3218900003,True,True,False,False,2013-12-31
JP3219000001,True,True,False,False,2013-12-31
JP3223800008,True,True,True,True,2013-12-31
JP3224200000,True,True,True,True,2013-12-31
JP3228600007,True,True,False,False,2013-12-31
JP3229400001,True,True,False,False,2013-12-31
JP3236200006,True,True,False,False,2013-12-31
JP3240400006,True,True,False,False,2013-12-31
JP3242800005,True,True,True,True,2013-12-31
JP3243600008,True,True,False,False,2013-12-31
JP3246400000,True,True,False,False,2013-12-31
JP3249600002,True,True,False,False,2013-12-31
JP3256000005,True,True,True,True,2013-12-31
JP3258000003,True,True,False,False,2013-12-31
JP3260800002,True,True,True,True,2013-12-31
JP3263000006,True,True,False,False,2013-12-31
JP3266400005,True,True,True,True,2013-12-31
JP3268950007,True,True,False,False,2013-12-31
JP3269600007,True,True,True,True,2013-12-31
JP3270000007,True,True,False,False,2013-12-31
JP3271400008,True,True,False,False,2013-12-31
JP3274400005,True,True,False,False,2013-12-31
JP3276400003,True,True,False,False,2013-12-31
JP3277800003,True,True,False,False,2013-12-31
JP3278600006,True,True,False,False,2013-12-31
JP3280200001,True,True,False,False,2013-12-31
JP3283650004,True,True,False,False,2013-12-31
JP3289800009,True,True,True,True,2013-12-31
JP3292200007,True,True,False,False,2013-12-31
JP3293200006,True,True,False,False,2013-12-31
JP3294460005,True,True,True,True,2013-12-31
JP3300200007,True,True,False,False,2013-12-31
JP3300600008,True,True,True,True,2013-12-31
JP3304200003,True,True,True,True,2013-12-31
JP3305530002,True,True,False,False,2013-12-31
JP3305800009,True,True,False,False,2013-12-31
JP3305990008,False,True,False,False,2013-12-31
JP3320800000,True,True,False,False,2013-12-31
JP3322930003,True,True,True,True,2013-12-31
JP3326410002,True,True,False,False,2013-12-31
JP3336000009,True,True,False,False,2013-12-31
JP3336600006,True,True,False,False,2013-12-31
JP3347200002,True,True,False,False,2013-12-31
JP3350800003,True,True,False,False,2013-12-31
JP3351100007,True,True,False,False,2013-12-31
JP3351500008,True,True,False,False,2013-12-31
JP3351600006,True,True,True,True,2013-12-31
JP3352000008,True,True,False,False,2013-12-31
JP3352400000,True,True,False,False,2013-12-31
JP3357200009,True,True,False,False,2013-12-31
JP3358000002,True,True,False,False,2013-12-31
JP3358200008,True,True,False,False,2013-12-31
JP3358800005,True,True,True,True,2013-12-31
JP3359600008,True,True,True,True,2013-12-31
JP3362700001,True,True,True,True,2013-12-31
JP3368000000,True,True,True,True,2013-12-31
JP3371200001,True,True,True,True,2013-12-31
JP3375800004,True,True,True,True,2013-12-31
JP3381000003,True,True,False,False,2013-12-31
JP3385820000,True,True,True,True,2013-12-31
JP3385980002,True,True,False,False,2013-12-31
JP3386030005,True,True,False,False,2013-12-31
JP3388200002,True,True,False,False,2013-12-31
JP3389900006,True,True,False,False,2013-12-31
JP3396350005,True,False,False,False,2013-12-31
JP3397200001,True,True,False,False,2013-12-31
JP3398000004,True,True,False,False,2013-12-31
JP3399400005,True,True,False,False,2013-12-31
JP3400900001,True,True,False,False,2013-12-31
JP3401400001,True,True,False,False,2013-12-31
JP3402600005,True,True,True,True,2013-12-31
JP3404200002,True,True,False,False,2013-12-31
JP3404600003,True,True,False,False,2013-12-31
JP3405400007,True,True,False,False,2013-12-31
JP3407200009,True,True,False,False,2013-12-31
JP3407400005,True,True,True,True,2013-12-31
JP3409000001,True,True,False,False,2013-12-31
JP3411000007,True,True,False,False,2013-12-31
JP3414750004,True,True,True,True,2013-12-31
JP3415400005,True,True,False,False,2013-12-31
JP3419050004,True,True,False,False,2013-12-31
JP3419400001,True,True,True,True,2013-12-31
JP3420600003,True,True,True,True,2013-12-31
JP3421100003,True,True,True,True,2013-12-31
JP3421800008,True,True,False,False,2013-12-31
JP3425000001,True,True,False,False,2013-12-31
JP3429800000,True,True,True,True,2013-12-31
JP3435000009,True,True,True,True,2013-12-31
JP3436100006,True,True,False,False,2013-12-31
JP3436120004,True,False,False,False,2013-12-31
JP3443600006,True,True,True,True,2013-12-31
JP3449020001,True,True,True,True,2013-12-31
JP3452000007,True,True,True,True,2013-12-31
JP3456000003,True,True,True,True,2013-12-31
JP3459600007,True,True,False,False,2013-12-31
JP3463000004,True,True,False,False,2013-12-31
JP3475350009,True,True,True,True,2013-12-31
JP3481800005,True,True,True,True,2013-12-31
JP3485800001,True,True,False,False,2013-12-31
JP3486800000,True,True,False,False,2013-12-31
JP3491000000,True,True,False,False,2013-12-31
JP3493400000,True,True,False,False,2013-12-31
JP3493800001,True,True,True,True,2013-12-31
JP3494600004,True,True,False,False,2013-12-31
JP3495000006,True,True,False,False,2013-12-31
JP3496400007,True,True,True,True,2013-12-31
JP3499800005,True,True,False,False,2013-12-31
JP3500610005,True,True,False,False,2013-12-31
JP3502200003,True,True,True,True,2013-12-31
JP3505000004,True,True,True,True,2013-12-31
JP3511800009,True,True,False,False,2013-12-31
