ISIN,NAME,Country
HK0388045442,HONG KONG EXCHANGES AND CLEARING,HK
HK0392044647,BEIJING ENTERPRISES HOLDINGS,HK
HK0440001847,DAH SING FINANCIAL HDG.,HK
HK0688002218,CHINA OVERSEAS LAND INVESTMENT,HK
HK0823032773,LINK REAL ESTATE INVESTMENT TRUST,HK
HK0836012952,CHINA RESOURCES POWER,HK
HK2380027329,CHIN.PWR.INTDVT.,HK
HK2388011192,BOC HONG KONG HOLDINGS,HK
IE00BKVD2N49,SEAGATE TECHNOLOGY HOLDINGS,SG
JP3027670003,NIPPON BUILDING FUND,JP
JP3027680002,JAPAN REAL ESTATE INV.,JP
JP3039710003,JAPAN METROPOLITAN FUND INVESTMENT REIT,JP
JP3040890000,JAPAN PRIME REALTY INV.,JP
JP3102000001,AISIN,JP
JP3108600002,ACOM,JP
JP3111200006,ASAHI KASEI,JP
JP3112000009,AGC,JP
JP3116000005,ASAHI GROUP HOLDINGS,JP
JP3118000003,ASICS,JP
JP3119600009,AJINOMOTO,JP
JP3122400009,ADVANTEST,JP
JP3122800000,AMADA,JP
JP3125800007,ARIAKE JAPAN,JP
JP3126340003,ALFRESA HOLDINGS,JP
JP3126400005,ALPS ALPINE,JP
JP3131400008,AEON FINANCIAL SERVICE,JP
JP3131430005,AEON MALL DEAD - DELIST.27/06/25,JP
JP3134800006,IHI,JP
JP3137200006,ISUZU MOTORS,JP
JP3143000002,ITO EN,JP
JP3143600009,ITOCHU,JP
JP3143900003,ITOCHU TECHNO-SOLUTIONS DEAD - DELIST.01/12/23,JP
JP3148800000,IBIDEN,JP
JP3152740001,ABC-MART,JP
JP3156400008,USHIO,JP
JP3158800007,UBE,JP
JP3160400002,EISAI,JP
JP3162600005,SMC,JP
JP3164630000,SQUARE ENIX HOLDINGS,JP
JP3164720009,RENESAS ELECTRONICS,JP
JP3164800009,NOK,JP
JP3165600002,NTN,JP
JP3165700000,NTT DATA GROUP DEAD - DELIST.26/09/25,JP
JP3166000004,EBARA,JP
JP3167500002,LEOPALACE21,JP
JP3172100004,OKUMA,JP
JP3173400007,OBIC,JP
JP3174410005,OJI HOLDINGS,JP
JP3180400008,OSAKA GAS,JP
JP3188220002,OTSUKA HOLDINGS,JP
JP3190000004,OBAYASHI,JP
JP3194000000,OKI ELECTRIC IND.,JP
JP3196000008,ODAKYU ELECTRIC RY.,JP
JP3197600004,ONO PHARM.,JP
JP3197800000,OMRON,JP
JP3198900007,ORIENTAL LAND,JP
JP3200450009,ORIX,JP
JP3201200007,OLYMPUS,JP
JP3203500008,ONWARD HOLDINGS,JP
JP3205800000,KAO,JP
JP3209000003,CASIO COMPUTER,JP
JP3210200006,KAJIMA,JP
JP3215800008,KANEKA,JP
JP3218900003,CAPCOM,JP
JP3219000001,KAMIGUMI,JP
JP3223800008,KAWASAKI KISEN KAISHA,JP
JP3224200000,KAWASAKI HEAVY INDUSTRY,JP
JP3228600007,KANSAI ELECTRIC PWR.,JP
JP3229400001,KANSAI PAINT,JP
JP3236200006,KEYENCE,JP
JP3240400006,KIKKOMAN,JP
JP3242800005,CANON,JP
JP3243600008,CANON MARKETING JAPAN,JP
JP3246400000,KYUSHU ELEC.POWER,JP
JP3249600002,KYOCERA,JP
JP3256000005,KYOWA KIRIN,JP
JP3258000003,KIRIN HOLDINGS,JP
JP3260800002,KINTETSU GROUP HDG.,JP
JP3263000006,KINDEN,JP
JP3266400005,KUBOTA,JP
JP3268950007,MEDIPAL HOLDINGS,JP
JP3269600007,KURARAY,JP
JP3270000007,KURITA WATER IND.,JP
JP3271400008,CREDIT SAISON,JP
