Date,RebalanceYear,Return,Cumulative
2014-01-31,2013,-0.020033294506605008,-0.02003329450660496
2014-02-28,2013,0.02168722461343389,0.0012194635491171724
2014-03-31,2013,0.0015066241164058587,0.0027279249387153204
2014-04-30,2013,0.020603069114589773,0.02338719767935693
2014-05-30,2013,0.043245577667783044,0.06764416822081443
2014-06-30,2013,0.04523650669821408,0.1159406607878446
2014-07-31,2013,0.025912060292984176,0.1448569824735717
2014-08-29,2013,0.015492818608878443,0.16259404403614286
2014-09-30,2013,-0.03017788618088071,0.12750941330065024
2014-10-31,2013,0.030569956226506444,0.16197732671022513
2014-11-28,2013,-0.02649438738357346,0.13119144928543536
2014-12-31,2013,-0.014594447915033433,0.11468233459690791
2015-01-30,2014,0.07575365232368027,0.19912359262331036
2015-02-27,2014,0.0201211786386105,0.2232513726402563
2015-03-31,2014,0.00825343620943661,0.23334739981244845
2015-04-30,2014,0.04558978381547247,0.289575441139273
2015-05-29,2014,-0.0003434725098832043,0.2891325074258211
2015-06-30,2014,-0.015469041488659706,0.26919086318407115
2015-07-31,2014,0.012725521780418672,0.2853419791570284
2015-08-31,2014,-0.04265527674669474,0.23051536132194106
2015-09-30,2014,0.021025563737203476,0.25638764048102347
2015-10-30,2014,0.0600472541024077,0.331830268380112
2015-11-30,2014,-0.04409154696926841,0.2731078115467369
2015-12-31,2014,0.04953493295862102,0.3361711216408012
2016-01-29,2015,-0.04680296780492353,0.2736343476527783
2016-02-29,2015,0.004271327769839845,0.2790744574105295
2016-03-31,2015,0.0654214240137913,0.3627533298339938
2016-04-29,2015,0.010324864208084216,0.37682357291364443
2016-05-31,2015,-0.008544793257846937,0.3650589001305671
2016-06-30,2015,0.024932550478973692,0.39909330006484467
2016-07-29,2015,0.045767928265838434,0.46312690185942773
2016-08-31,2015,-0.022355311034357415,0.4304182448856244
2016-09-30,2015,0.020424863427096707,0.4596343421810407
2016-10-31,2015,-0.005269937663697452,0.45194216018595457
2016-11-30,2015,-0.03742062991022664,0.3976095699585809
2016-12-30,2015,-0.012683778201921132,0.3798826001603439
2017-01-31,2016,0.04735805430027518,0.4452311552667423
2017-02-28,2016,0.036032292703110744,0.4973061472769684
2017-03-31,2016,0.02078051817822384,0.528420944888824
2017-04-28,2016,0.0012620873635711112,0.5303499456495857
2017-05-31,2016,0.031134940403850696,0.5779973000044218
2017-06-30,2016,0.006482212567194875,0.5882262139335099
2017-07-31,2016,0.015936092084110183,0.6135363331291521
2017-08-31,2016,0.0007093452095171537,0.614680887397439
2017-09-29,2016,-0.006174893087003962,0.6047104055481312
2017-10-31,2016,0.03107993646938696,0.6545847030043312
2017-11-30,2016,0.004827398633896192,0.6625720429392801
2017-12-29,2016,0.004067827230504674,0.6693350987682241
2018-01-31,2017,0.018805797876067037,0.7007282772230836
2018-02-28,2017,-0.2522285520453253,0.2717560464365645
2018-03-30,2017,0.004828402920977505,0.2778965970459497
2018-04-30,2017,0.022074517672890172,0.30610554806156687
2018-05-31,2017,-0.0035417894220512508,0.30147959724735984
2018-06-29,2017,-0.028806556250731356,0.2639884520200746
2018-07-31,2017,-0.000777836212488052,0.2630052760299266
2018-08-31,2017,-0.009998063495403864,0.25037766908514936
2018-09-28,2017,0.025474822179703125,0.2822308178625652
